PRCP       002019 19131201 20170831 missing_value=99999.9 MARGARET RIVER                            
19841101 19841130     8.0
19841201 19841231    53.7
19850101 19850131    75.4
19850201 19850228   151.0
19850301 19850331    13.2
19850401 19850430     3.8
19850501 19850531     0.0
19850601 19850630     8.2
19850701 19850731     0.0
19850801 19850831     0.0
19850901 19850930     0.0
19851001 19851031     0.0
19851101 19851130    23.0
19851201 19851231    35.0
19860101 19860131   341.2
19860201 19860228    57.4
19860301 19860331    13.4
19860401 19860430     6.0
19860501 19860531     0.0
19860601 19860630    11.0
19860701 19860731    39.4
19860801 19860831     0.0
19860901 19860930     3.0
19861001 19861031     2.8
19861101 19861130     1.6
19861201 19861231    29.4
19870101 19870131    72.4
19870201 19870228   229.0
19870301 19870331    14.4
19870401 19870430    29.4
19870501 19870531     0.0
19870601 19870630     3.6
19870701 19870731     0.0
19870801 19870831     0.0
19870901 19870930     0.0
19871001 19871031     4.2
19871101 19871130    51.2
19871201 19871231   157.8
19880101 19880131    80.0
19880201 19880229    42.1
19880301 19880331    27.4
19880401 19880430     0.0
19880501 19880531    10.2
19880601 19880630     0.0
19880701 19880731     0.0
19880801 19880831     0.0
19880901 19880930     0.0
19881001 19881031     0.0
19881101 19881130    46.4
19881201 19881231    52.8
19890101 19890131    10.0
19890201 19890228    15.4
19890301 19890331   129.8
19890401 19890430     0.0
19890501 19890531     0.0
19890601 19890630     0.0
19890701 19890731     0.0
19890801 19890831     0.0
19890901 19890930     0.0
19891001 19891031     0.0
19891101 19891130     0.0
19891201 19891231    31.6
19900101 19900131    83.6
19900201 19900228    96.4
19900301 19900331    29.2
19900401 19900430     0.0
19900501 19900531     0.0
19900601 19900630     0.0
19900701 19900731     0.0
19900801 19900831     0.0
19900901 19900930     0.0
19901001 19901031     0.0
19901101 19901130     5.2
19901201 19901231    28.6
19910101 19910131   475.7
19910201 19910228   177.6
19910301 19910331    41.6
19910401 19910430     0.4
19910501 19910531     0.0
19910601 19910630     5.2
19910701 19910731    18.0
19910801 19910831     0.0
19910901 19910930     0.0
19911001 19911031     0.0
19911101 19911130    46.0
19911201 19911231     5.0
19920101 19920131    66.0
19920201 19920229    24.8
19920301 19920331    28.6
19920401 19920430    12.5
19920501 19920531    24.0
19920601 19920630     0.0
19920701 19920731     0.0
19920801 19920831     0.6
19920901 19920930     0.0
19921001 19921031     0.0
19921101 19921130     4.0
19921201 19921231     0.0
19930101 19930131   119.5
19930201 19930228   494.7
19930301 19930331     0.0
19930401 19930430     0.0
19930501 19930531     8.4
19930601 19930630    34.4
19930701 19930731     0.0
19930801 19930831     0.0
19930901 19930930     0.0
19931001 19931031     0.0
19931101 19931130     0.0
19931201 19931231    51.9
19940101 19940131    52.2
19940201 19940228   103.2
19940301 19940331     4.8
19940401 19940430     0.0
19940501 19940531     0.0
19940601 19940630     0.0
19940701 19940731     0.0
19940801 19940831     0.0
19940901 19940930     0.0
19941001 19941031     0.0
19941101 19941130    17.2
19941201 19941231    50.0
19950101 19950131   169.0
