PRCP       003017 19231101 20180131 missing_value=99999.9 MOUNT HOUSE STATION                       
19831001 19831031     0.0
19831101 19831130    96.4
19831201 19831231    83.4
19840101 19840131   564.2
19840201 19840229   128.5
19840301 19840331   353.0
19840401 19840430     0.0
19840501 19840531     0.0
19840601 19840630     0.0
19840701 19840731     4.0
19840801 19840831     0.0
19840901 19840930     0.0
19841001 19841031     7.4
19841101 19841130    16.2
19841201 19841231   205.0
19850101 19850131    68.5
19850201 19850228   161.6
19850301 19850331    86.0
19850401 19850430    41.5
19850501 19850531     0.0
19850601 19850630     0.0
19850701 19850731     0.0
19850801 19850831     0.0
19850901 19850930     0.0
19851001 19851031     0.0
19851101 19851130    26.5
19851201 19851231    86.8
19860101 19860131   541.4
19860201 19860228   240.5
19860301 19860331    94.5
19860401 19860430    15.0
19860501 19860531     0.0
19860601 19860630    23.1
19860701 19860731    36.0
19860801 19860831     0.0
19860901 19860930     3.0
19861001 19861031    12.2
19861101 19861130    15.0
19861201 19861231    42.0
19870101 19870131   222.3
19870201 19870228   158.4
19870301 19870331    27.5
19870401 19870430    35.5
19870501 19870531     0.0
19870601 19870630     3.0
19870701 19870731     0.0
19870801 19870831     0.0
19870901 19870930     0.0
19871001 19871031    17.0
19871101 19871130    11.0
19871201 19871231   245.0
19880101 19880131   120.8
19880201 19880229    98.0
19880301 19880331   187.5
19880401 19880430    10.4
19880501 19880531     5.0
19880601 19880630     0.0
19880701 19880731     0.0
19880801 19880831     0.0
19880901 19880930     0.0
19881001 19881031     5.4
19881101 19881130    40.6
19881201 19881231   230.7
19890101 19890131    40.5
19890201 19890228    95.6
19890301 19890331   460.6
19890401 19890430     9.0
19890501 19890531     5.0
19890601 19890630     0.0
19890701 19890731     0.0
19890801 19890831     0.0
19890901 19890930     0.0
19891001 19891031     1.0
19891101 19891130    12.0
19891201 19891231    90.5
19900101 19900131   216.0
19900201 19900228   141.9
19900301 19900331    28.8
19900401 19900430     8.0
19900501 19900531     0.0
19900601 19900630     0.0
19900701 19900731     0.0
19900801 19900831     0.0
19900901 19900930     0.0
19901001 19901031    11.5
19901101 19901130    69.6
19901201 19901231    66.2
19910101 19910131   263.7
19910201 19910228   259.5
19910301 19910331    39.5
19910401 19910430     4.0
19910501 19910531     0.0
19910601 19910630     0.0
19910701 19910731     3.5
19910801 19910831     0.0
19910901 19910930     3.0
19911001 19911031     7.0
19911101 19911130     3.5
19911201 19911231    42.0
19920101 19920131    83.4
19920201 19920229   143.8
19920301 19920331    91.5
19920401 19920430    14.5
19920501 19920531    30.0
19920601 19920630     0.0
19920701 19920731     0.0
19920801 19920831     0.0
19920901 19920930     2.0
19921001 19921031     0.0
19921101 19921130    10.0
19921201 19921231     0.0
19930101 19930131   210.0
19930201 19930228   686.8
19930301 19930331    57.0
19930401 19930430     0.0
19930501 19930531     0.0
19930601 19930630    62.0
19930701 19930731     0.0
19930801 19930831     0.0
19930901 19930930     0.0
19931001 19931031     0.0
19931101 19931130     7.0
19931201 19931231   155.1
19940101 19940131   195.6
19940201 19940228   371.3
19940301 19940331    87.4
19940401 19940430     0.0
19940501 19940531     0.0
19940601 19940630     0.0
19940701 19940731     0.0
19940801 19940831     0.0
19940901 19940930     0.0
19941001 19941031     3.4
19941101 19941130    43.4
19941201 19941231   182.4
19950101 19950131   345.6
19950201 19950228   366.2
19950301 19950331   159.5
19950401 19950430   186.6
19950501 19950531     0.0
19950601 19950630     0.0
19950701 19950731     3.6
19950801 19950831     0.0
19950901 19950930     0.0
19951001 19951031    12.6
19951101 19951130    10.7
19951201 19951231   203.8
19960101 19960131   176.7
19960201 19960229   129.2
19960301 19960331   108.6
19960401 19960430 99999.9
19960501 19960531     3.6
19960601 19960630     1.0
19960701 19960731     0.0
19960801 19960831     0.0
19960901 19960930     0.0
19961001 19961031    26.7
19961101 19961130    19.1
19961201 19961231   225.6
19970101 19970131   341.1
19970201 19970228   205.5
19970301 19970331   133.9
19970401 19970430     0.0
19970501 19970531    73.7
19970601 19970630     0.0
19970701 19970731     0.0
19970801 19970831     0.0
19970901 19970930     0.8
19971001 19971031    67.2
19971101 19971130    32.0
19971201 19971231    61.5
19980101 19980131   191.7
19980201 19980228    44.8
19980301 19980331   177.9
19980401 19980430 99999.9
19980501 19980531     3.7
19980601 19980630     0.0
19980701 19980731     2.2
19980801 19980831     0.0
19980901 19980930     9.0
19981001 19981031    36.6
19981101 19981130   116.0
19981201 19981231   332.6
19990101 19990131   170.1
19990201 19990228   293.0
19990301 19990331    74.0
19990401 19990430    41.8
19990501 19990531     0.0
19990601 19990630     4.6
19990701 19990731     0.0
19990801 19990831     0.0
19990901 19990930     0.0
19991001 19991031    34.5
19991101 19991130    88.2
19991201 19991231   100.5
20000101 20000131   344.0
20000201 20000229   312.9
20000301 20000331   276.0
20000401 20000430   101.5
20000501 20000531     0.0
20000601 20000630     0.0
20000701 20000731     0.0
20000801 20000831     0.0
20000901 20000930     0.0
20001001 20001031    67.9
20001101 20001130    10.0
20001201 20001231   140.4
20010101 20010131   117.6
20010201 20010228   327.2
20010301 20010331   120.8
20010401 20010430    24.0
20010501 20010531     0.0
20010601 20010630     0.0
20010701 20010731     2.4
20010801 20010831     0.0
20010901 20010930     2.2
20011001 20011031     0.0
20011101 20011130    17.5
20011201 20011231    86.6
20020101 20020131   206.0
20020201 20020228   422.2
20020301 20020331    30.3
20020401 20020430     0.0
20020501 20020531     0.0
20020601 20020630     0.0
20020701 20020731     0.0
20020801 20020831     0.0
20020901 20020930     4.0
20021001 20021031     2.0
20021101 20021130   100.3
20021201 20021231   166.4
20030101 20030131    72.0
20030201 20030228   153.5
20030301 20030331    41.0
20030401 20030430    68.6
20030501 20030531     0.0
20030601 20030630     0.0
20030701 20030731     0.0
20030801 20030831     0.0
20030901 20030930     0.0
20031001 20031031     6.5
20031101 20031130    14.4
20031201 20031231   191.4
20040101 20040131   177.1
20040201 20040229   214.8
20040301 20040331   208.3
20040401 20040430     0.0
20040501 20040531    48.8
20040601 20040630    37.5
20040701 20040731     0.0
20040801 20040831     0.0
20040901 20040930     0.0
20041001 20041031     4.8
20041101 20041130    78.8
20041201 20041231   141.6
20050101 20050131   158.6
20050201 20050228   197.6
20050301 20050331    19.6
20050401 20050430     2.2
20050501 20050531     0.0
20050601 20050630    33.4
20050701 20050731     0.0
20050801 20050831     1.8
20050901 20050930     0.0
20051001 20051031     3.0
20051101 20051130    25.0
20051201 20051231   321.0
20060101 20060131   422.6
20060201 20060228   137.2
20060301 20060331   198.4
20060401 20060430    49.1
20060501 20060531     0.0
20060601 20060630     0.0
20060701 20060731     0.0
20060801 20060831     0.0
20060901 20060930     0.0
20061001 20061031    47.2
20061101 20061130   142.1
20061201 20061231   158.7
20070101 20070131   252.0
20070201 20070228     8.0
20070301 20070331   354.0
20070401 20070430     0.0
20070501 20070531    20.0
20070601 20070630    85.0
20070701 20070731     0.0
20070801 20070831     0.0
20070901 20070930     0.0
20071001 20071031     0.0
20071101 20071130     8.0
20071201 20071231   274.8
20080101 20080131   170.2
20080201 20080229   266.0
20080301 20080331   107.5
20080401 20080430     0.0
20080501 20080531     0.0
20080601 20080630    42.0
20080701 20080731     0.0
20080801 20080831     0.0
20080901 20080930     9.0
20081001 20081031     8.0
20081101 20081130    39.2
20081201 20081231   212.5
20090101 20090131   363.4
20090201 20090228   274.6
20090301 20090331    41.0
20090401 20090430     0.0
20090501 20090531     0.0
20090601 20090630     0.0
20090701 20090731     0.0
20090801 20090831     0.0
20090901 20090930     0.0
20091001 20091031     6.0
20091101 20091130    49.0
20091201 20091231    70.8
20100101 20100131   163.0
20100201 20100228   144.4
20100301 20100331    14.4
20100401 20100430    38.0
20100501 20100531   110.9
20100601 20100630 99999.9
20100701 20100731 99999.9
20100801 20100831 99999.9
20100901 20100930    47.3
20101001 20101031   155.2
20101101 20101130    16.4
20101201 20101231   163.0
20110101 20110131   425.0
20110201 20110228 99999.9
20110301 20110331   273.6
20110401 20110430   177.2
20110501 20110531     0.0
20110601 20110630     0.0
20110701 20110731     0.0
20110801 20110831     0.0
20110901 20110930     0.0
20111001 20111031    96.6
20111101 20111130   106.8
20111201 20111231   143.6
20120101 20120131 99999.9
20120201 20120229 99999.9
20120301 20120331 99999.9
20120401 20120430 99999.9
20120501 20120531 99999.9
20120601 20120630 99999.9
20120701 20120731 99999.9
20120801 20120831 99999.9
20120901 20120930 99999.9
20121001 20121031 99999.9
20121101 20121130 99999.9
20121201 20121231 99999.9
20130101 20130131 99999.9
20130201 20130228 99999.9
20130301 20130331 99999.9
20130401 20130430 99999.9
20130501 20130531 99999.9
20130601 20130630 99999.9
20130701 20130731 99999.9
20130801 20130831 99999.9
20130901 20130930 99999.9
20131001 20131031 99999.9
20131101 20131130 99999.9
20131201 20131231 99999.9
20140101 20140131   188.2
20140201 20140228   306.4
20140301 20140331    79.0
20140401 20140430    12.6
20140501 20140531     0.0
20140601 20140630     0.0
20140701 20140731     0.0
20140801 20140831     0.0
20140901 20140930     0.0
20141001 20141031     0.0
20141101 20141130    91.8
20141201 20141231   145.0
20150101 20150131   293.6
20150201 20150228    50.0
20150301 20150331    93.2
20150401 20150430    34.4
20150501 20150531     0.0
20150601 20150630    14.0
20150701 20150731     0.0
20150801 20150831     0.0
20150901 20150930     0.0
20151001 20151031    22.6
20151101 20151130    30.6
20151201 20151231   201.6
20160101 20160131   220.3
20160201 20160229   119.4
20160301 20160331   116.3
20160401 20160430    10.2
20160501 20160531    72.4
20160601 20160630     0.0
20160701 20160731    14.8
20160801 20160831     7.2
20160901 20160930     0.0
20161001 20161031     5.6
20161101 20161130    49.0
20161201 20161231   316.0
20170101 20170131   295.0
20170201 20170228   336.2
20170301 20170331   118.6
20170401 20170430    20.6
20170501 20170531    16.0
20170601 20170630     0.0
20170701 20170731     0.0
20170801 20170831     0.0
20170901 20170930     0.0
20171001 20171031    27.4
20171101 20171130    79.6
20171201 20171231   130.6
20180101 20180131   209.2
