PRCP       097091 19070101 20180131 missing_value=99999.9 SOUTH QUEENSTOWN                          
19790101 19790131   126.4
19790201 19790228   167.0
19790301 19790331   108.0
19790401 19790430   254.0
19790501 19790531   180.6
19790601 19790630   170.2
19790701 19790731   296.2
19790801 19790831   307.8
19790901 19790930   310.8
19791001 19791031   201.8
19791101 19791130   154.0
19791201 19791231   367.8
19800101 19800131   175.8
19800201 19800229   135.2
19800301 19800331   187.4
19800401 19800430   216.0
19800501 19800531   248.0
19800601 19800630   185.6
19800701 19800731   282.0
19800801 19800831   352.0
19800901 19800930   586.0
19801001 19801031   235.4
19801101 19801130   149.8
19801201 19801231    47.0
19810101 19810131    60.6
19810201 19810228    50.0
19810301 19810331   214.6
19810401 19810430   384.0
19810501 19810531   145.0
19810601 19810630   154.4
19810701 19810731   304.6
19810801 19810831   263.8
19810901 19810930   286.8
19811001 19811031   227.2
19811101 19811130   209.2
19811201 19811231   121.8
19820101 19820131   129.6
19820201 19820228    97.2
19820301 19820331   173.4
19820401 19820430   171.8
19820501 19820531   415.4
19820601 19820630   161.0
19820701 19820731   139.6
19820801 19820831   172.8
19820901 19820930   249.2
19821001 19821031   234.6
19821101 19821130   206.0
19821201 19821231   112.4
19830101 19830131   237.0
19830201 19830228    40.8
19830301 19830331   138.8
19830401 19830430   153.4
19830501 19830531   192.4
19830601 19830630   314.0
19830701 19830731   120.6
19830801 19830831   236.6
19830901 19830930   281.4
19831001 19831031   119.8
19831101 19831130   244.0
19831201 19831231    84.6
19840101 19840131   158.2
19840201 19840229    97.0
19840301 19840331   237.2
19840401 19840430   252.2
19840501 19840531   197.0
19840601 19840630   301.4
19840701 19840731   153.8
19840801 19840831   367.0
19840901 19840930   295.6
19841001 19841031   248.2
19841101 19841130   139.8
19841201 19841231   287.4
19850101 19850131   248.8
19850201 19850228    82.2
19850301 19850331    76.8
19850401 19850430   114.0
19850501 19850531   220.6
19850601 19850630   254.2
19850701 19850731   322.2
19850801 19850831   161.0
19850901 19850930   137.8
19851001 19851031   160.8
19851101 19851130    83.2
19851201 19851231   178.6
19860101 19860131   184.8
19860201 19860228   186.8
19860301 19860331   107.8
19860401 19860430   326.2
19860501 19860531   174.0
19860601 19860630   336.2
19860701 19860731   304.0
19860801 19860831   140.0
19860901 19860930   261.8
19861001 19861031   336.8
19861101 19861130   136.4
19861201 19861231   306.0
19870101 19870131   397.4
19870201 19870228   199.2
19870301 19870331   192.6
19870401 19870430   141.0
19870501 19870531   316.8
19870601 19870630   188.2
19870701 19870731   146.6
19870801 19870831   198.0
19870901 19870930   293.8
19871001 19871031   192.2
19871101 19871130   274.4
19871201 19871231   112.6
19880101 19880131    90.6
19880201 19880229   120.2
19880301 19880331    59.8
19880401 19880430    99.4
19880501 19880531   163.0
19880601 19880630   201.2
19880701 19880731   301.0
19880801 19880831   266.4
19880901 19880930   247.0
19881001 19881031   568.0
19881101 19881130   147.8
19881201 19881231   119.2
19890101 19890131   226.0
19890201 19890228    61.8
19890301 19890331    97.8
19890401 19890430   121.4
19890501 19890531   187.6
19890601 19890630   118.4
19890701 19890731   178.8
19890801 19890831   182.4
19890901 19890930   246.8
19891001 19891031   334.8
19891101 19891130    66.0
19891201 19891231   192.0
19900101 19900131   160.0
19900201 19900228   105.6
19900301 19900331   144.4
19900401 19900430   203.2
19900501 19900531   284.8
19900601 19900630   367.8
19900701 19900731   351.6
19900801 19900831   200.8
19900901 19900930   218.6
19901001 19901031   154.4
19901101 19901130   211.6
19901201 19901231   246.6
19910101 19910131   169.0
19910201 19910228    57.0
19910301 19910331   179.2
19910401 19910430   281.2
19910501 19910531   131.6
19910601 19910630   331.4
19910701 19910731   258.6
19910801 19910831   430.2
19910901 19910930   304.6
19911001 19911031   166.6
19911101 19911130   254.2
19911201 19911231   138.2
19920101 19920131   172.8
19920201 19920229    80.2
19920301 19920331    97.8
19920401 19920430   173.2
19920501 19920531   194.8
19920601 19920630   202.4
19920701 19920731   403.0
19920801 19920831   336.0
19920901 19920930   245.4
19921001 19921031   192.0
19921101 19921130   210.4
19921201 19921231   113.6
19930101 19930131   146.6
19930201 19930228   200.8
19930301 19930331   101.6
19930401 19930430   167.0
19930501 19930531   229.0
19930601 19930630   288.8
19930701 19930731   215.6
19930801 19930831   321.8
19930901 19930930   120.6
19931001 19931031   279.4
