PRCP       043035 18810101 20180131 missing_value=99999.9 SURAT POST OFFICE                         
19391201 19391231    54.1
19400101 19400131    11.4
19400201 19400229   118.2
19400301 19400331    57.2
19400401 19400430    11.4
19400501 19400531    21.7
19400601 19400630     0.8
19400701 19400731    16.0
19400801 19400831     1.0
19400901 19400930    12.7
19401001 19401031    19.5
19401101 19401130    21.6
19401201 19401231    76.2
19410101 19410131   295.5
19410201 19410228     0.0
19410301 19410331   134.7
19410401 19410430    10.2
19410501 19410531    40.6
19410601 19410630    34.4
19410701 19410731    11.0
19410801 19410831     0.8
19410901 19410930     2.5
19411001 19411031    44.4
19411101 19411130    35.3
19411201 19411231    12.7
19420101 19420131    77.2
19420201 19420228    49.3
19420301 19420331    10.0
19420401 19420430    35.6
19420501 19420531    43.5
19420601 19420630     8.1
19420701 19420731    52.2
19420801 19420831     3.0
19420901 19420930     6.6
19421001 19421031    59.6
19421101 19421130    55.9
19421201 19421231   258.0
19430101 19430131    94.5
19430201 19430228    33.0
19430301 19430331     8.9
19430401 19430430    30.4
19430501 19430531    19.1
19430601 19430630    40.7
19430701 19430731    15.8
19430801 19430831    57.3
19430901 19430930    71.7
19431001 19431031    33.8
19431101 19431130   106.9
19431201 19431231    58.0
19440101 19440131    34.1
19440201 19440229    15.5
19440301 19440331     5.6
19440401 19440430    10.7
19440501 19440531     2.8
19440601 19440630    42.4
19440701 19440731    46.2
19440801 19440831   132.5
19440901 19440930    22.9
19441001 19441031    15.5
19441101 19441130    22.2
19441201 19441231     9.9
19450101 19450131    56.1
19450201 19450228   118.1
19450301 19450331     0.5
19450401 19450430    52.9
19450501 19450531    13.9
19450601 19450630    49.3
19450701 19450731    44.5
19450801 19450831    63.7
19450901 19450930     1.0
19451001 19451031     5.6
19451101 19451130    58.8
19451201 19451231    52.8
19460101 19460131   106.2
19460201 19460228    32.2
19460301 19460331     0.5
19460401 19460430    25.6
19460501 19460531     0.5
19460601 19460630     1.8
19460701 19460731     0.0
19460801 19460831     0.0
19460901 19460930    28.4
19461001 19461031     9.1
19461101 19461130    29.5
19461201 19461231   112.6
19470101 19470131    34.5
19470201 19470228   120.2
19470301 19470331   149.1
19470401 19470430     5.1
19470501 19470531    39.1
19470601 19470630     7.1
19470701 19470731     0.8
19470801 19470831    52.2
19470901 19470930    42.0
19471001 19471031    66.4
19471101 19471130   119.2
19471201 19471231   109.6
19480101 19480131    26.7
19480201 19480229    47.5
19480301 19480331    36.8
19480401 19480430     4.3
19480501 19480531    77.7
19480601 19480630    56.4
19480701 19480731    35.6
19480801 19480831     0.0
19480901 19480930   111.1
19481001 19481031     5.8
19481101 19481130    23.4
19481201 19481231    92.2
19490101 19490131    57.0
19490201 19490228   219.0
19490301 19490331    64.3
19490401 19490430    16.8
19490501 19490531     1.3
19490601 19490630    44.0
19490701 19490731     0.0
19490801 19490831     2.5
19490901 19490930    22.4
19491001 19491031   160.8
19491101 19491130    39.9
19491201 19491231    19.3
19500101 19500131    43.9
19500201 19500228   226.9
19500301 19500331    96.3
19500401 19500430   112.5
19500501 19500531    23.7
19500601 19500630    78.5
19500701 19500731   210.9
19500801 19500831     6.6
19500901 19500930    50.2
19501001 19501031   106.3
19501101 19501130   167.8
19501201 19501231     0.0
19510101 19510131   105.5
19510201 19510228    45.0
19510301 19510331    52.3
19510401 19510430     0.0
19510501 19510531    11.5
19510601 19510630    15.2
19510701 19510731     3.8
19510801 19510831    21.8
19510901 19510930    23.3
19511001 19511031    32.8
19511101 19511130    57.7
19511201 19511231    34.8
19520101 19520131    43.7
19520201 19520229    69.1
19520301 19520331    91.6
19520401 19520430    55.6
19520501 19520531    87.2
19520601 19520630    18.0
19520701 19520731    27.0
19520801 19520831    25.7
19520901 19520930    15.7
19521001 19521031   119.9
19521101 19521130    33.3
19521201 19521231    30.0
19530101 19530131    50.6
19530201 19530228   260.1
19530301 19530331     5.1
19530401 19530430    50.8
19530501 19530531    41.4
19530601 19530630     0.0
19530701 19530731     4.8
19530801 19530831    68.6
19530901 19530930     0.5
19531001 19531031   108.2
19531101 19531130    26.2
19531201 19531231    18.3
19540101 19540131   129.5
19540201 19540228   227.8
19540301 19540331    26.4
19540401 19540430     2.5
19540501 19540531     9.9
19540601 19540630    16.8
19540701 19540731   166.4
19540801 19540831    75.7
19540901 19540930    16.0
19541001 19541031   206.2
19541101 19541130   164.4
19541201 19541231    30.2
19550101 19550131   166.3
19550201 19550228   145.5
19550301 19550331    21.8
19550401 19550430   106.2
19550501 19550531    62.5
19550601 19550630     6.7
19550701 19550731    52.7
19550801 19550831    10.2
19550901 19550930    27.2
19551001 19551031    75.5
19551101 19551130     0.0
19551201 19551231   107.2
19560101 19560131   198.1
19560201 19560229   128.8
19560301 19560331   175.6
19560401 19560430    49.8
19560501 19560531    61.4
19560601 19560630    71.4
19560701 19560731    51.4
19560801 19560831     4.0
19560901 19560930    12.2
19561001 19561031    19.4
19561101 19561130    46.0
19561201 19561231   154.9
19570101 19570131    89.4
19570201 19570228    33.5
19570301 19570331    21.6
19570401 19570430    24.4
19570501 19570531     0.0
19570601 19570630    48.5
19570701 19570731    28.5
19570801 19570831     2.3
19570901 19570930     2.0
19571001 19571031    17.0
19571101 19571130    11.4
19571201 19571231     0.0
19580101 19580131    84.9
19580201 19580228    43.3
19580301 19580331    24.4
19580401 19580430    19.2
19580501 19580531     2.3
19580601 19580630   166.5
19580701 19580731     7.9
19580801 19580831    30.5
19580901 19580930    23.9
19581001 19581031    34.3
19581101 19581130    39.4
19581201 19581231   135.0
19590101 19590131   167.9
19590201 19590228   194.0
19590301 19590331    34.6
19590401 19590430    33.3
19590501 19590531    27.7
19590601 19590630     5.8
19590701 19590731    45.9
19590801 19590831     2.3
19590901 19590930     6.4
19591001 19591031   135.2
19591101 19591130    62.5
19591201 19591231   103.1
19600101 19600131    13.5
19600201 19600229    54.2
19600301 19600331    63.5
19600401 19600430    17.0
19600501 19600531    29.5
19600601 19600630    21.3
19600701 19600731    19.1
19600801 19600831    29.7
19600901 19600930    13.7
19601001 19601031    22.4
19601101 19601130    59.3
19601201 19601231    83.0
19610101 19610131    48.2
19610201 19610228    96.5
19610301 19610331    26.2
19610401 19610430    38.3
19610501 19610531    20.4
19610601 19610630    17.5
19610701 19610731    67.5
19610801 19610831    10.9
19610901 19610930     8.9
19611001 19611031    86.4
19611101 19611130    67.1
19611201 19611231    91.8
19620101 19620131   147.9
19620201 19620228    11.9
19620301 19620331   185.2
19620401 19620430    56.3
19620501 19620531     9.6
19620601 19620630     9.6
19620701 19620731    25.3
19620801 19620831    36.8
19620901 19620930    13.7
19621001 19621031    52.0
19621101 19621130    19.8
19621201 19621231   100.9
19630101 19630131   127.3
19630201 19630228    23.2
19630301 19630331   152.5
19630401 19630430     5.5
19630501 19630531    20.3
19630601 19630630    13.7
19630701 19630731     1.5
19630801 19630831    83.3
19630901 19630930    10.7
19631001 19631031     4.1
19631101 19631130    82.5
19631201 19631231    48.5
19640101 19640131    17.8
19640201 19640229    44.8
19640301 19640331    32.0
19640401 19640430    29.3
19640501 19640531    60.0
19640601 19640630     8.1
19640701 19640731    32.2
19640801 19640831    35.8
19640901 19640930   108.5
19641001 19641031    83.0
19641101 19641130    10.7
19641201 19641231    68.8
19650101 19650131     5.8
19650201 19650228    14.3
19650301 19650331     0.0
19650401 19650430    18.2
19650501 19650531     3.5
19650601 19650630    15.3
19650701 19650731    42.2
19650801 19650831    18.0
19650901 19650930    54.0
19651001 19651031    24.6
19651101 19651130    32.3
19651201 19651231   109.1
19660101 19660131    40.6
19660201 19660228    78.4
19660301 19660331    61.9
19660401 19660430     3.8
19660501 19660531    18.5
19660601 19660630    72.2
19660701 19660731    11.5
19660801 19660831   128.4
19660901 19660930     4.8
19661001 19661031    27.8
19661101 19661130    23.6
19661201 19661231    39.4
19670101 19670131    36.1
19670201 19670228    28.2
19670301 19670331    68.0
19670401 19670430     0.0
19670501 19670531    22.3
19670601 19670630    92.9
19670701 19670731    11.8
19670801 19670831    21.9
19670901 19670930     0.0
19671001 19671031    66.9
19671101 19671130    25.7
19671201 19671231    96.1
19680101 19680131    84.9
19680201 19680229    43.0
19680301 19680331    53.9
19680401 19680430    52.0
19680501 19680531    38.6
19680601 19680630     3.3
19680701 19680731    68.2
19680801 19680831    33.1
19680901 19680930    29.5
19681001 19681031     3.8
19681101 19681130     3.4
19681201 19681231    75.0
19690101 19690131    42.6
19690201 19690228     7.6
19690301 19690331    52.0
19690401 19690430    29.2
19690501 19690531    82.8
19690601 19690630    26.2
19690701 19690731     7.8
19690801 19690831     8.6
19690901 19690930    10.2
19691001 19691031   183.7
19691101 19691130    58.1
19691201 19691231    31.9
19700101 19700131    68.7
19700201 19700228    40.9
19700301 19700331     9.2
19700401 19700430    18.3
19700501 19700531     6.9
19700601 19700630    13.4
19700701 19700731     0.0
19700801 19700831     9.2
19700901 19700930   106.7
19701001 19701031    17.3
19701101 19701130    23.4
19701201 19701231   141.9
19710101 19710131    92.1
19710201 19710228    74.4
19710301 19710331    23.7
19710401 19710430    16.2
19710501 19710531    46.0
19710601 19710630     3.3
19710701 19710731    46.7
19710801 19710831    66.6
19710901 19710930    68.5
19711001 19711031    33.1
19711101 19711130    30.3
19711201 19711231   143.3
19720101 19720131    70.6
19720201 19720229    36.5
19720301 19720331    19.1
19720401 19720430    35.0
19720501 19720531    12.4
19720601 19720630     5.3
19720701 19720731     0.0
19720801 19720831    28.3
19720901 19720930    47.1
19721001 19721031    40.1
19721101 19721130    80.1
19721201 19721231     8.7
19730101 19730131   106.1
19730201 19730228    92.8
19730301 19730331    17.8
19730401 19730430     0.0
19730501 19730531    14.5
19730601 19730630    18.6
19730701 19730731    86.7
19730801 19730831    49.8
19730901 19730930    64.8
19731001 19731031    17.0
19731101 19731130    85.9
19731201 19731231    34.8
19740101 19740131   196.0
19740201 19740228    22.8
19740301 19740331    12.6
19740401 19740430    97.6
19740501 19740531    38.0
19740601 19740630    22.4
19740701 19740731     4.2
19740801 19740831    41.8
19740901 19740930    16.2
19741001 19741031    42.0
19741101 19741130    92.4
19741201 19741231    46.9
19750101 19750131    91.2
19750201 19750228    56.0
19750301 19750331    62.8
19750401 19750430     0.0
19750501 19750531     0.0
19750601 19750630    45.8
19750701 19750731    72.2
19750801 19750831    36.8
19750901 19750930    13.2
19751001 19751031    73.2
19751101 19751130    31.0
19751201 19751231   121.8
19760101 19760131    49.8
19760201 19760229   159.2
19760301 19760331     6.4
19760401 19760430     0.0
19760501 19760531     9.2
19760601 19760630    21.6
19760701 19760731    13.4
19760801 19760831     6.0
19760901 19760930    27.6
