PRCP       016033 18860701 20141231 missing_value=99999.9 OAKDEN HILLS                              
19780901 19780930    29.2
19781001 19781031    14.8
19781101 19781130    25.0
19781201 19781231     0.0
19790101 19790131    16.0
19790201 19790228    56.4
19790301 19790331     0.0
19790401 19790430    12.4
19790501 19790531   117.0
19790601 19790630     1.2
19790701 19790731     6.4
19790801 19790831    51.8
19790901 19790930    35.4
19791001 19791031     6.2
19791101 19791130    55.4
19791201 19791231    31.6
19800101 19800131     0.0
19800201 19800229     0.0
19800301 19800331     0.2
19800401 19800430    74.1
19800501 19800531    26.6
19800601 19800630    34.0
19800701 19800731    23.6
19800801 19800831     0.0
19800901 19800930     1.4
19801001 19801031    20.2
19801101 19801130     0.0
19801201 19801231     4.4
19810101 19810131    48.8
19810201 19810228    14.2
19810301 19810331     6.4
19810401 19810430     4.2
19810501 19810531    27.2
19810601 19810630     5.0
19810701 19810731    26.8
19810801 19810831     8.8
19810901 19810930     8.0
19811001 19811031     0.4
19811101 19811130     9.2
19811201 19811231     3.4
19820101 19820131     2.8
19820201 19820228     5.0
19820301 19820331    20.2
19820401 19820430     0.0
