PRCP       041024 19060101 20180131 missing_value=99999.9 DOCTORS CREEK                             
19950601 19950630    54.2
19950701 19950731     5.8
19950801 19950831     6.4
19950901 19950930    32.0
19951001 19951031    58.2
19951101 19951130   213.6
19951201 19951231   146.6
19960101 19960131   164.0
19960201 19960229    42.4
19960301 19960331     4.8
19960401 19960430    28.4
19960501 19960531   211.8
19960601 19960630     5.6
19960701 19960731    43.2
19960801 19960831    60.6
19960901 19960930    61.2
19961001 19961031    29.0
19961101 19961130    87.8
19961201 19961231   119.6
19970101 19970131     3.2
19970201 19970228    88.8
19970301 19970331     7.4
19970401 19970430    15.8
19970501 19970531    55.0
19970601 19970630    14.6
19970701 19970731     6.0
19970801 19970831     2.8
19970901 19970930    65.4
19971001 19971031   114.8
19971101 19971130   150.6
19971201 19971231   106.6
19980101 19980131    69.0
19980201 19980228   110.2
19980301 19980331     0.0
19980401 19980430    93.4
19980501 19980531   100.8
19980601 19980630    32.4
19980701 19980731    38.8
19980801 19980831    61.0
19980901 19980930   125.2
19981001 19981031    18.6
19981101 19981130    57.2
19981201 19981231    36.2
19990101 19990131    80.0
19990201 19990228   142.2
19990301 19990331    92.2
19990401 19990430     6.2
19990501 19990531    17.2
19990601 19990630    17.0
19990701 19990731    63.6
19990801 19990831    52.4
19990901 19990930    25.2
19991001 19991031    60.6
19991101 19991130    52.0
19991201 19991231   140.6
20000101 20000131   116.6
20000201 20000229    32.6
20000301 20000331    38.0
20000401 20000430     7.2
20000501 20000531    20.4
20000601 20000630    30.2
20000701 20000731    12.8
20000801 20000831     1.8
20000901 20000930     1.0
20001001 20001031    47.6
20001101 20001130    72.2
20001201 20001231    93.4
20010101 20010131    67.4
20010201 20010228   144.6
20010301 20010331    23.0
20010401 20010430    54.6
20010501 20010531    19.2
20010601 20010630     2.4
20010701 20010731    37.2
20010801 20010831     6.6
20010901 20010930    16.4
20011001 20011031    71.0
