PRCP       018073 19100101 20070630 missing_value=99999.9 PUNTABIE                                  
20001001 20001031    42.4
20001101 20001130     9.2
20001201 20001231     2.4
20010101 20010131     2.0
20010201 20010228    18.6
20010301 20010331     5.6
20010401 20010430     7.2
20010501 20010531    64.2
20010601 20010630    26.6
20010701 20010731    14.2
20010801 20010831    41.2
20010901 20010930    79.8
20011001 20011031    23.4
20011101 20011130    35.2
20011201 20011231    50.4
20020101 20020131     8.2
20020201 20020228     0.4
20020301 20020331     0.4
20020401 20020430    11.6
20020501 20020531    25.2
20020601 20020630    45.8
20020701 20020731    39.4
20020801 20020831    19.6
20020901 20020930    23.0
20021001 20021031     8.4
20021101 20021130     6.0
20021201 20021231    19.2
20030101 20030131    11.4
20030201 20030228    15.8
20030301 20030331     3.2
20030401 20030430     6.0
20030501 20030531    15.6
20030601 20030630    32.4
20030701 20030731    40.6
20030801 20030831    52.2
20030901 20030930     7.4
20031001 20031031    26.4
20031101 20031130    13.8
20031201 20031231    27.0
20040101 20040131     0.4
20040201 20040229     4.0
20040301 20040331     6.8
20040401 20040430    17.6
20040501 20040531    14.8
20040601 20040630    57.6
20040701 20040731    36.2
20040801 20040831    79.6
20040901 20040930    36.0
20041001 20041031     1.4
20041101 20041130    21.4
20041201 20041231     7.0
20050101 20050131     9.2
20050201 20050228     2.4
20050301 20050331     0.0
20050401 20050430     5.4
20050501 20050531     6.8
20050601 20050630    67.4
20050701 20050731    32.0
20050801 20050831    31.8
20050901 20050930    92.6
20051001 20051031    30.0
20051101 20051130    32.4
