PRCP       040043 18690801 20180131 missing_value=99999.9 CAPE MORETON LIGHTHOUSE                   
19461201 19461231   113.2
19470101 19470131   271.3
19470201 19470228   187.1
19470301 19470331   216.6
19470401 19470430   185.1
19470501 19470531   173.3
19470601 19470630    15.3
19470701 19470731     8.5
19470801 19470831    68.9
19470901 19470930    91.1
19471001 19471031    68.4
19471101 19471130   132.8
19471201 19471231    91.5
19480101 19480131   200.5
19480201 19480229    77.0
19480301 19480331   165.1
19480401 19480430   115.9
19480501 19480531   128.3
19480601 19480630   161.1
19480701 19480731    77.9
19480801 19480831    97.3
19480901 19480930   130.5
19481001 19481031     1.8
19481101 19481130    80.5
19481201 19481231    93.5
19490101 19490131    61.3
19490201 19490228   185.6
19490301 19490331   160.9
19490401 19490430   184.3
19490501 19490531   169.4
19490601 19490630   236.9
19490701 19490731    88.2
19490801 19490831    44.3
19490901 19490930   127.2
19491001 19491031   194.4
19491101 19491130    67.4
19491201 19491231    59.1
19500101 19500131    94.1
19500201 19500228   343.9
19500301 19500331   100.0
19500401 19500430   299.5
19500501 19500531    97.5
19500601 19500630   200.7
19500701 19500731   244.9
19500801 19500831   159.3
19500901 19500930    21.3
19501001 19501031    95.8
19501101 19501130    75.6
19501201 19501231    65.6
19510101 19510131   491.9
19510201 19510228    99.3
19510301 19510331   186.7
19510401 19510430    50.9
19510501 19510531   100.8
19510601 19510630   180.9
19510701 19510731    59.7
19510801 19510831    17.1
19510901 19510930    41.4
19511001 19511031    64.0
19511101 19511130     7.9
19511201 19511231   109.9
19520101 19520131    38.1
19520201 19520229   144.2
19520301 19520331   190.8
19520401 19520430   112.7
19520501 19520531   129.5
19520601 19520630   148.9
19520701 19520731   311.4
19520801 19520831   101.0
19520901 19520930    75.4
19521001 19521031    91.4
19521101 19521130    16.7
19521201 19521231    23.3
19530101 19530131   131.9
19530201 19530228   328.3
19530301 19530331   176.0
19530401 19530430    46.8
19530501 19530531    69.1
19530601 19530630     7.2
19530701 19530731    92.0
19530801 19530831    96.4
19530901 19530930    24.5
19531001 19531031    43.7
19531101 19531130   102.4
19531201 19531231    57.4
19540101 19540131   153.6
19540201 19540228   590.3
19540301 19540331   150.8
19540401 19540430    78.2
19540501 19540531   125.8
19540601 19540630   142.3
19540701 19540731   238.0
19540801 19540831   143.4
19540901 19540930   218.9
19541001 19541031   249.4
19541101 19541130    83.7
19541201 19541231    42.2
19550101 19550131    71.7
19550201 19550228    80.3
19550301 19550331   318.0
19550401 19550430   120.6
19550501 19550531   177.7
19550601 19550630    73.2
19550701 19550731    67.9
19550801 19550831     4.0
19550901 19550930    72.8
19551001 19551031    59.5
19551101 19551130    28.7
19551201 19551231   273.9
19560101 19560131    94.0
19560201 19560229   435.7
19560301 19560331   245.5
19560401 19560430   176.5
19560501 19560531   262.0
19560601 19560630    96.8
19560701 19560731    52.4
19560801 19560831     9.6
19560901 19560930    53.9
19561001 19561031    27.7
19561101 19561130    59.5
19561201 19561231   220.4
19570101 19570131   252.3
19570201 19570228   110.6
19570301 19570331   191.5
19570401 19570430    19.5
19570501 19570531    65.3
19570601 19570630    79.2
19570701 19570731   142.4
19570801 19570831   130.5
19570901 19570930     2.1
19571001 19571031    56.6
19571101 19571130    27.8
19571201 19571231    32.2
19580101 19580131    97.0
19580201 19580228   162.9
19580301 19580331   185.4
19580401 19580430   259.4
19580501 19580531    61.3
19580601 19580630   406.4
19580701 19580731     6.6
19580801 19580831   133.0
19580901 19580930    87.0
19581001 19581031    49.8
19581101 19581130    41.5
19581201 19581231   151.3
19590101 19590131   264.4
19590201 19590228   162.9
19590301 19590331   249.2
19590401 19590430    50.0
19590501 19590531   264.0
19590601 19590630   106.7
19590701 19590731   212.0
19590801 19590831    19.6
19590901 19590930   114.5
19591001 19591031   205.3
19591101 19591130   230.3
19591201 19591231    84.6
19600101 19600131   153.9
19600201 19600229   173.0
19600301 19600331   140.1
19600401 19600430   129.2
19600501 19600531    86.3
19600601 19600630   221.6
19600701 19600731   179.6
19600801 19600831    20.0
19600901 19600930     4.2
19601001 19601031   123.4
19601101 19601130    93.7
19601201 19601231   110.3
19610101 19610131   206.8
