PRCP       083032 18890201 20170630 missing_value=99999.9 WHITLANDS (BURDER'S LANE)                 
19340601 19340630    73.1
19340701 19340731   147.3
19340801 19340831   106.2
19340901 19340930    92.6
19341001 19341031   310.5
19341101 19341130   274.9
19341201 19341231    75.1
19350101 19350131    70.3
19350201 19350228   141.6
19350301 19350331    72.9
19350401 19350430   278.6
19350501 19350531    50.9
19350601 19350630   129.9
19350701 19350731   189.8
19350801 19350831   185.0
19350901 19350930   141.6
19351001 19351031   131.1
19351101 19351130    69.8
19351201 19351231    61.7
19360101 19360131   121.2
19360201 19360229    15.2
19360301 19360331    33.3
19360401 19360430   138.3
19360501 19360531    80.5
19360601 19360630   100.0
19360701 19360731   188.1
19360801 19360831   210.7
19360901 19360930    42.7
19361001 19361031   125.2
19361101 19361130    69.6
19361201 19361231   200.3
19370101 19370131   150.4
19370201 19370228    45.2
19370301 19370331    43.7
19370401 19370430    33.5
19370501 19370531    83.6
19370601 19370630    68.2
19370701 19370731    90.3
19370801 19370831   141.3
19370901 19370930   178.6
19371001 19371031   154.0
19371101 19371130    57.5
19371201 19371231    41.6
19380101 19380131    87.2
19380201 19380228    99.6
19380301 19380331    17.8
19380401 19380430   121.9
19380501 19380531    39.0
19380601 19380630   166.5
19380701 19380731    68.6
19380801 19380831   107.8
19380901 19380930    36.4
19381001 19381031    23.3
19381101 19381130    17.6
19381201 19381231     3.5
19390101 19390131    34.5
19390201 19390228   398.9
19390301 19390331   125.0
19390401 19390430   309.1
19390501 19390531    78.9
19390601 19390630   202.2
19390701 19390731    45.1
19390801 19390831   357.7
19390901 19390930    97.6
19391001 19391031   166.8
19391101 19391130   145.2
19391201 19391231    23.7
19400101 19400131    95.0
19400201 19400229    10.5
19400301 19400331    98.3
19400401 19400430   129.4
19400501 19400531   102.8
19400601 19400630    64.9
19400701 19400731   137.5
19400801 19400831    85.8
19400901 19400930   137.5
19401001 19401031    33.8
19401101 19401130    90.1
19401201 19401231   136.1
19410101 19410131   367.2
19410201 19410228    43.0
19410301 19410331   281.5
19410401 19410430    23.7
19410501 19410531    54.6
19410601 19410630   116.9
19410701 19410731   135.2
19410801 19410831    86.4
19410901 19410930   160.1
19411001 19411031   155.9
19411101 19411130    96.9
19411201 19411231   122.1
19420101 19420131   164.1
19420201 19420228    98.3
19420301 19420331    97.1
19420401 19420430   152.1
19420501 19420531   322.9
19420601 19420630   308.1
19420701 19420731   173.6
19420801 19420831   246.8
19420901 19420930   162.7
19421001 19421031   115.5
19421101 19421130    73.2
19421201 19421231    64.4
19430101 19430131    79.4
19430201 19430228    48.7
19430301 19430331     3.5
19430401 19430430   141.1
19430501 19430531    26.8
19430601 19430630   160.6
19430701 19430731   125.2
19430801 19430831   182.0
19430901 19430930   168.7
19431001 19431031    68.9
19431101 19431130    71.2
19431201 19431231    30.4
19440101 19440131    19.0
19440201 19440229    34.7
19440301 19440331    35.2
19440401 19440430   140.6
19440501 19440531   181.3
19440601 19440630    58.9
19440701 19440731   205.5
19440801 19440831    18.3
19440901 19440930    49.9
19441001 19441031    82.6
19441101 19441130    76.7
19441201 19441231    86.0
19450101 19450131   182.7
19450201 19450228    12.3
