PRCP       018057 19070101 20170930 missing_value=99999.9 MOUNT WUDINNA                             
19960501 19960531     3.6
19960601 19960630    42.2
19960701 19960731    59.0
19960801 19960831    60.2
19960901 19960930    73.0
19961001 19961031    18.4
19961101 19961130    12.6
19961201 19961231    13.6
19970101 19970131     7.0
19970201 19970228    22.2
19970301 19970331     0.4
19970401 19970430     0.0
19970501 19970531    34.8
19970601 19970630    17.1
19970701 19970731     7.0
19970801 19970831    57.2
19970901 19970930    58.4
19971001 19971031    44.6
19971101 19971130    36.6
19971201 19971231    38.2
19980101 19980131    12.4
19980201 19980228    16.5
19980301 19980331    13.8
19980401 19980430    47.8
19980501 19980531     5.0
19980601 19980630    51.2
19980701 19980731    70.0
19980801 19980831    48.2
19980901 19980930    18.6
19981001 19981031    10.6
19981101 19981130    19.5
19981201 19981231     5.2
19990101 19990131    19.2
19990201 19990228     3.6
19990301 19990331    36.0
19990401 19990430     4.4
19990501 19990531    23.2
19990601 19990630    36.2
19990701 19990731    15.2
19990801 19990831    27.8
19990901 19990930    36.4
19991001 19991031    59.4
19991101 19991130    30.1
19991201 19991231     9.1
20000101 20000131     6.4
20000201 20000229    13.3
20000301 20000331    19.6
20000401 20000430    41.8
20000501 20000531    24.0
20000601 20000630    46.6
20000701 20000731    48.2
20000801 20000831    92.2
20000901 20000930    26.8
20001001 20001031    63.0
20001101 20001130    69.4
20001201 20001231    15.4
20010101 20010131     8.4
20010201 20010228    25.4
20010301 20010331     8.4
20010401 20010430     2.8
20010501 20010531    41.4
20010601 20010630    50.4
20010701 20010731    55.0
20010801 20010831    56.4
20010901 20010930    88.4
20011001 20011031    24.6
20011101 20011130    23.4
20011201 20011231    27.2
20020101 20020131    14.4
20020201 20020228     0.0
20020301 20020331     1.8
20020401 20020430     5.4
20020501 20020531    48.8
20020601 20020630    55.0
20020701 20020731    50.0
20020801 20020831    22.6
20020901 20020930     9.2
