PRCP       007057 18941101 20101130 missing_value=99999.9 MOUNT MAGNET                              
19690601 19690630    15.2
19690701 19690731     3.1
19690801 19690831     1.0
19690901 19690930     9.7
19691001 19691031     7.9
19691101 19691130     3.1
19691201 19691231     0.0
19700101 19700131     0.0
19700201 19700228    17.2
19700301 19700331     1.0
19700401 19700430    47.7
19700501 19700531    17.8
19700601 19700630    41.8
19700701 19700731     9.4
19700801 19700831    10.9
19700901 19700930    13.0
19701001 19701031     3.0
19701101 19701130     1.1
19701201 19701231    40.9
19710101 19710131    23.8
19710201 19710228    63.8
19710301 19710331    26.1
19710401 19710430     1.8
19710501 19710531    10.5
19710601 19710630    16.0
19710701 19710731    47.0
19710801 19710831    11.2
19710901 19710930     3.2
19711001 19711031     5.6
19711101 19711130     8.7
19711201 19711231     0.5
19720101 19720131     0.8
19720201 19720229     7.8
19720301 19720331     2.1
19720401 19720430     0.0
19720501 19720531     7.9
19720601 19720630    34.3
19720701 19720731    45.7
19720801 19720831    13.7
19720901 19720930     7.9
19721001 19721031     2.0
19721101 19721130    29.1
19721201 19721231     0.3
19730101 19730131     0.0
19730201 19730228    14.0
19730301 19730331     0.0
19730401 19730430    19.3
19730501 19730531    23.9
19730601 19730630    30.2
19730701 19730731    61.5
19730801 19730831    42.1
19730901 19730930    14.0
19731001 19731031     9.1
19731101 19731130    13.2
19731201 19731231    11.2
19740101 19740131     7.4
19740201 19740228     0.0
19740301 19740331    41.8
19740401 19740430    31.4
19740501 19740531    56.0
19740601 19740630    10.8
19740701 19740731    94.9
19740801 19740831    26.0
19740901 19740930    38.6
19741001 19741031    16.2
19741101 19741130    22.8
19741201 19741231     1.6
19750101 19750131     1.0
19750201 19750228   207.2
19750301 19750331    68.0
19750401 19750430    87.4
19750501 19750531    36.2
19750601 19750630    34.0
19750701 19750731    36.4
19750801 19750831    18.8
19750901 19750930     2.2
19751001 19751031    68.0
19751101 19751130    16.2
19751201 19751231    26.2
19760101 19760131     1.2
19760201 19760229     7.0
19760301 19760331     0.0
19760401 19760430    31.8
19760501 19760531    17.2
19760601 19760630     4.8
19760701 19760731     4.2
19760801 19760831    11.8
19760901 19760930    10.4
19761001 19761031    55.0
19761101 19761130     0.0
19761201 19761231     0.4
19770101 19770131     0.0
19770201 19770228     0.0
19770301 19770331    22.1
19770401 19770430    16.7
19770501 19770531    14.8
19770601 19770630     7.3
19770701 19770731     0.0
19770801 19770831     5.8
19770901 19770930     0.0
19771001 19771031     0.0
19771101 19771130     2.5
19771201 19771231    79.2
19780101 19780131    62.4
19780201 19780228    77.0
19780301 19780331     0.6
19780401 19780430     5.4
19780501 19780531     5.0
19780601 19780630     3.8
19780701 19780731    34.0
19780801 19780831    34.0
19780901 19780930    16.8
19781001 19781031     5.8
19781101 19781130     0.0
19781201 19781231    33.8
19790101 19790131     0.0
19790201 19790228     2.0
19790301 19790331     6.6
19790401 19790430     8.9
19790501 19790531     7.2
19790601 19790630    27.2
19790701 19790731     1.6
19790801 19790831    24.6
19790901 19790930     0.0
19791001 19791031     0.0
19791101 19791130     6.7
19791201 19791231     5.6
19800101 19800131    31.0
19800201 19800229     3.2
19800301 19800331     0.0
19800401 19800430    15.3
19800501 19800531    89.4
19800601 19800630   116.2
19800701 19800731    66.1
19800801 19800831     5.2
19800901 19800930     0.8
19801001 19801031    12.2
19801101 19801130    18.4
19801201 19801231     2.6
19810101 19810131     4.4
19810201 19810228    13.6
19810301 19810331     0.0
19810401 19810430     0.0
19810501 19810531    23.4
19810601 19810630    47.4
19810701 19810731    17.4
19810801 19810831    29.0
19810901 19810930     0.0
19811001 19811031     0.0
19811101 19811130     4.0
19811201 19811231    30.6
19820101 19820131    27.6
19820201 19820228    10.4
19820301 19820331    22.0
19820401 19820430    21.8
19820501 19820531    33.8
19820601 19820630    19.8
19820701 19820731     1.6
19820801 19820831    15.4
19820901 19820930    10.4
19821001 19821031    21.2
19821101 19821130    36.8
19821201 19821231    16.2
19830101 19830131     6.8
19830201 19830228     0.0
19830301 19830331    18.8
19830401 19830430     2.8
19830501 19830531     2.6
19830601 19830630    23.0
19830701 19830731    17.0
19830801 19830831    15.2
19830901 19830930    19.4
19831001 19831031    13.2
19831101 19831130    21.4
19831201 19831231    86.2
19840101 19840131    13.0
19840201 19840229     8.2
19840301 19840331    74.8
19840401 19840430    13.0
19840501 19840531    95.4
19840601 19840630     4.4
19840701 19840731    32.8
19840801 19840831    10.4
19840901 19840930    32.0
19841001 19841031    20.8
19841101 19841130     0.0
19841201 19841231     4.0
19850101 19850131     0.0
19850201 19850228    45.6
19850301 19850331     1.8
19850401 19850430     3.8
19850501 19850531    58.0
19850601 19850630    14.8
19850701 19850731    77.8
19850801 19850831    16.0
19850901 19850930     1.4
19851001 19851031     1.0
19851101 19851130     2.2
19851201 19851231     0.0
19860101 19860131    15.2
19860201 19860228    25.0
19860301 19860331    18.0
19860401 19860430     8.6
19860501 19860531     7.6
19860601 19860630    92.9
19860701 19860731    41.4
19860801 19860831    11.4
19860901 19860930    20.8
19861001 19861031    34.4
