PRCP       024521 18851101 20180131 missing_value=99999.9 MURRAY BRIDGE                             
19590501 19590531    10.2
19590601 19590630    13.1
19590701 19590731    17.5
19590801 19590831    27.1
19590901 19590930    47.1
19591001 19591031    30.7
19591101 19591130    12.5
19591201 19591231    29.1
19600101 19600131    11.2
19600201 19600229    48.0
19600301 19600331    12.7
19600401 19600430    50.8
19600501 19600531    77.9
19600601 19600630    14.2
19600701 19600731    42.3
19600801 19600831    22.3
19600901 19600930    58.8
19601001 19601031     7.8
19601101 19601130    47.4
19601201 19601231    11.5
19610101 19610131     5.1
19610201 19610228    17.8
19610301 19610331     7.6
19610401 19610430    68.1
19610501 19610531    29.5
19610601 19610630    10.0
19610701 19610731    47.1
19610801 19610831    30.1
19610901 19610930    17.2
19611001 19611031     2.4
19611101 19611130    28.6
19611201 19611231    14.0
19620101 19620131    10.2
19620201 19620228    11.4
19620301 19620331    28.5
19620401 19620430     5.0
19620501 19620531    41.3
19620601 19620630    19.9
19620701 19620731    18.1
19620801 19620831    43.2
19620901 19620930    11.1
19621001 19621031    72.7
19621101 19621130    13.8
19621201 19621231    40.1
19630101 19630131    42.5
19630201 19630228     2.0
19630301 19630331     1.3
19630401 19630430    54.0
19630501 19630531    84.2
19630601 19630630    63.0
19630701 19630731    55.7
19630801 19630831    43.1
19630901 19630930    22.7
19631001 19631031    48.8
19631101 19631130     3.6
19631201 19631231     1.5
19640101 19640131     8.4
19640201 19640229    16.4
19640301 19640331     5.4
19640401 19640430    40.6
19640501 19640531    19.1
19640601 19640630    37.8
19640701 19640731    51.2
19640801 19640831    33.8
19640901 19640930    50.4
19641001 19641031    36.8
19641101 19641130    68.0
19641201 19641231    22.1
19650101 19650131     1.6
19650201 19650228     0.0
19650301 19650331     2.0
19650401 19650430    16.1
19650501 19650531    27.7
19650601 19650630    38.1
19650701 19650731    30.3
19650801 19650831    32.2
19650901 19650930    38.7
19651001 19651031     6.9
19651101 19651130    32.6
19651201 19651231    27.1
19660101 19660131     6.8
19660201 19660228    26.9
19660301 19660331    15.3
19660401 19660430     7.1
19660501 19660531    28.6
19660601 19660630    55.5
19660701 19660731    43.9
19660801 19660831    18.0
19660901 19660930    26.3
19661001 19661031    22.3
19661101 19661130    16.3
19661201 19661231    65.9
19670101 19670131    11.0
19670201 19670228    11.0
19670301 19670331     3.4
19670401 19670430     3.9
19670501 19670531     7.8
19670601 19670630     6.9
19670701 19670731    12.6
19670801 19670831    35.0
19670901 19670930    20.6
19671001 19671031    17.1
19671101 19671130     0.0
19671201 19671231     7.1
19680101 19680131    30.5
19680201 19680229    22.6
19680301 19680331    29.8
19680401 19680430    36.9
19680501 19680531    53.0
19680601 19680630    37.7
19680701 19680731    39.9
19680801 19680831    25.5
19680901 19680930    16.4
19681001 19681031    29.9
19681101 19681130    23.1
19681201 19681231    36.8
19690101 19690131     5.1
