PRCP       041082 18861201 20171231 missing_value=99999.9 PITTSWORTH YANDILLA STREET                
19580701 19580731    17.1
19580801 19580831    34.8
19580901 19580930    24.1
19581001 19581031    91.4
19581101 19581130    14.7
19581201 19581231   143.4
19590101 19590131   114.6
19590201 19590228    93.6
19590301 19590331    80.0
19590401 19590430    36.8
19590501 19590531    33.3
19590601 19590630     5.6
19590701 19590731    41.2
19590801 19590831     0.0
19590901 19590930    28.9
19591001 19591031   133.0
19591101 19591130    89.2
19591201 19591231   128.8
19600101 19600131    36.6
19600201 19600229    60.7
19600301 19600331    21.5
19600401 19600430    19.1
19600501 19600531    25.2
19600601 19600630    36.7
19600701 19600731    34.0
19600801 19600831    37.9
19600901 19600930     6.3
19601001 19601031    59.0
19601101 19601130    56.3
19601201 19601231    43.9
19610101 19610131    69.6
19610201 19610228    98.0
19610301 19610331    33.1
19610401 19610430    14.5
19610501 19610531    11.6
19610601 19610630     7.3
19610701 19610731    76.2
19610801 19610831    53.5
19610901 19610930    13.1
19611001 19611031    67.1
19611101 19611130   230.9
19611201 19611231   122.7
19620101 19620131   111.7
19620201 19620228    69.2
19620301 19620331   134.9
19620401 19620430    82.1
19620501 19620531    18.0
19620601 19620630    11.5
19620701 19620731    70.5
19620801 19620831    36.9
19620901 19620930    48.2
19621001 19621031    64.5
19621101 19621130    50.6
19621201 19621231    58.8
19630101 19630131    48.0
19630201 19630228    39.8
19630301 19630331   174.0
19630401 19630430    11.7
19630501 19630531    39.2
19630601 19630630    16.4
19630701 19630731     2.3
19630801 19630831    73.7
19630901 19630930    11.8
19631001 19631031    28.7
19631101 19631130    74.2
19631201 19631231   137.2
19640101 19640131    64.8
19640201 19640229   142.0
19640301 19640331   183.1
19640401 19640430    68.1
19640501 19640531    87.4
19640601 19640630    35.8
19640701 19640731    33.2
19640801 19640831    15.0
19640901 19640930    44.0
19641001 19641031    69.3
19641101 19641130    36.4
19641201 19641231    63.0
19650101 19650131    87.5
19650201 19650228     8.4
19650301 19650331    31.0
19650401 19650430    40.7
19650501 19650531     2.8
19650601 19650630    31.5
19650701 19650731   133.4
19650801 19650831    64.6
19650901 19650930    25.4
19651001 19651031    41.5
19651101 19651130    19.4
19651201 19651231   297.5
19660101 19660131    16.2
19660201 19660228    89.1
19660301 19660331    96.7
19660401 19660430    54.1
19660501 19660531     1.3
19660601 19660630    49.8
19660701 19660731     5.1
19660801 19660831   117.4
19660901 19660930    40.4
19661001 19661031    48.8
19661101 19661130    63.8
19661201 19661231   104.1
19670101 19670131    96.7
19670201 19670228   104.9
19670301 19670331   102.3
19670401 19670430     4.6
19670501 19670531    47.2
19670601 19670630   154.5
19670701 19670731    17.8
19670801 19670831    38.1
19670901 19670930     2.0
19671001 19671031    40.6
19671101 19671130    53.6
19671201 19671231    14.3
19680101 19680131    81.3
19680201 19680229    40.1
19680301 19680331    44.7
19680401 19680430    49.5
19680501 19680531    43.4
19680601 19680630    11.7
19680701 19680731    99.3
19680801 19680831    72.5
19680901 19680930    17.0
19681001 19681031    10.4
19681101 19681130    72.8
19681201 19681231   121.8
19690101 19690131    67.8
19690201 19690228    21.0
19690301 19690331    58.4
19690401 19690430    12.7
19690501 19690531    69.8
19690601 19690630    20.8
19690701 19690731    21.6
19690801 19690831    58.6
19690901 19690930    27.1
19691001 19691031    87.6
19691101 19691130   114.9
19691201 19691231    38.3
19700101 19700131    81.6
19700201 19700228    47.8
19700301 19700331    64.5
19700401 19700430    27.9
19700501 19700531    19.8
19700601 19700630    16.8
19700701 19700731     8.6
19700801 19700831     9.0
19700901 19700930    81.2
19701001 19701031    50.8
19701101 19701130   101.9
19701201 19701231   177.4
19710101 19710131   191.7
19710201 19710228   176.6
19710301 19710331    14.3
19710401 19710430     8.4
19710501 19710531    20.1
19710601 19710630    22.9
19710701 19710731    33.0
19710801 19710831    69.3
19710901 19710930    63.4
19711001 19711031    95.0
19711101 19711130   148.8
19711201 19711231   130.1
19720101 19720131    81.8
19720201 19720229    46.1
19720301 19720331    29.8
19720401 19720430    29.5
19720501 19720531    12.5
19720601 19720630    13.4
19720701 19720731     1.5
19720801 19720831    42.0
19720901 19720930    25.4
