PRCP       061071 18890501 20180131 missing_value=99999.9 STROUD POST OFFICE                        
19530401 19530430    29.5
19530501 19530531   163.0
19530601 19530630    11.9
19530701 19530731    61.1
19530801 19530831    70.6
19530901 19530930    21.5
19531001 19531031    73.3
19531101 19531130    21.8
19531201 19531231    25.1
19540101 19540131   155.0
19540201 19540228   348.2
19540301 19540331    59.0
19540401 19540430    25.6
19540501 19540531    54.8
19540601 19540630   101.1
19540701 19540731    61.7
19540801 19540831    55.4
19540901 19540930   153.0
19541001 19541031   121.6
19541101 19541130   113.6
19541201 19541231    87.4
19550101 19550131   138.7
19550201 19550228   366.5
19550301 19550331   223.8
19550401 19550430   158.1
19550501 19550531    85.6
19550601 19550630    70.3
19550701 19550731    39.4
19550801 19550831    11.2
19550901 19550930    29.4
19551001 19551031    63.8
19551101 19551130   105.6
19551201 19551231   112.7
19560101 19560131   170.1
19560201 19560229   349.4
19560301 19560331   488.5
19560401 19560430    13.2
19560501 19560531   146.4
19560601 19560630    92.2
19560701 19560731    35.8
19560801 19560831    48.7
19560901 19560930    22.6
19561001 19561031    58.5
19561101 19561130     8.4
19561201 19561231    59.1
19570101 19570131    30.3
19570201 19570228   278.3
19570301 19570331   164.0
19570401 19570430    32.9
19570501 19570531     1.3
19570601 19570630    26.0
19570701 19570731   110.7
19570801 19570831   154.8
19570901 19570930    27.7
19571001 19571031     4.3
19571101 19571130    14.5
19571201 19571231    34.6
19580101 19580131   133.1
19580201 19580228   148.8
19580301 19580331    37.6
19580401 19580430    82.2
19580501 19580531    22.3
19580601 19580630   134.2
19580701 19580731    25.5
19580801 19580831    41.6
19580901 19580930    79.1
19581001 19581031    63.2
19581101 19581130    20.1
19581201 19581231   175.3
19590101 19590131   177.3
19590201 19590228   130.8
19590301 19590331   237.3
19590401 19590430   104.0
19590501 19590531    79.4
19590601 19590630    84.3
19590701 19590731    94.1
19590801 19590831   144.5
19590901 19590930    54.7
19591001 19591031   265.5
19591101 19591130   112.8
19591201 19591231   119.1
19600101 19600131   119.4
19600201 19600229    83.9
19600301 19600331    85.1
19600401 19600430    36.2
19600501 19600531    55.9
19600601 19600630   280.5
19600701 19600731    27.7
19600801 19600831    11.7
19600901 19600930    43.0
19601001 19601031    71.4
19601101 19601130    84.3
19601201 19601231   153.2
19610101 19610131   118.7
19610201 19610228    85.6
19610301 19610331    70.4
19610401 19610430   109.7
19610501 19610531    53.6
19610601 19610630   150.1
19610701 19610731    14.8
19610801 19610831   105.5
19610901 19610930    30.5
19611001 19611031   107.4
19611101 19611130   101.7
19611201 19611231   222.4
19620101 19620131   176.6
19620201 19620228   158.0
19620301 19620331   115.6
19620401 19620430   202.7
19620501 19620531   259.0
19620601 19620630    13.2
19620701 19620731    37.9
19620801 19620831    46.1
19620901 19620930    64.8
19621001 19621031    63.5
19621101 19621130    28.9
19621201 19621231   242.5
19630101 19630131   125.6
19630201 19630228    46.7
19630301 19630331   527.0
19630401 19630430   225.5
19630501 19630531   195.9
19630601 19630630   120.9
19630701 19630731    65.1
19630801 19630831   137.7
19630901 19630930   121.6
19631001 19631031    65.3
19631101 19631130    97.5
19631201 19631231   101.8
19640101 19640131    63.2
19640201 19640229    82.6
19640301 19640331    78.2
19640401 19640430    77.7
19640501 19640531    87.5
19640601 19640630   136.7
19640701 19640731    15.5
19640801 19640831    31.0
19640901 19640930    19.9
19641001 19641031    46.2
19641101 19641130    28.2
19641201 19641231    24.8
19650101 19650131    49.6
19650201 19650228    22.1
19650301 19650331     4.4
19650401 19650430    53.4
19650501 19650531    24.2
19650601 19650630    60.0
19650701 19650731   120.9
19650801 19650831    20.8
19650901 19650930    59.4
19651001 19651031    96.6
19651101 19651130    18.1
19651201 19651231    97.7
19660101 19660131    62.0
19660201 19660228   131.6
19660301 19660331   258.9
19660401 19660430    72.9
19660501 19660531    42.2
19660601 19660630    74.2
19660701 19660731    19.0
19660801 19660831    75.2
19660901 19660930    24.2
19661001 19661031    68.1
19661101 19661130    89.4
19661201 19661231   124.8
19670101 19670131    97.1
19670201 19670228   118.2
19670301 19670331   198.2
19670401 19670430   131.0
19670501 19670531   132.5
19670601 19670630   275.8
19670701 19670731    53.4
19670801 19670831   183.5
19670901 19670930    82.5
19671001 19671031   263.6
19671101 19671130    41.9
19671201 19671231    61.1
19680101 19680131   376.3
19680201 19680229    43.2
19680301 19680331   216.0
19680401 19680430    15.0
19680501 19680531   118.3
19680601 19680630    21.6
19680701 19680731   105.0
19680801 19680831   102.5
19680901 19680930    17.4
19681001 19681031     1.1
19681101 19681130    29.7
19681201 19681231   111.0
19690101 19690131    10.9
19690201 19690228   129.3
19690301 19690331    75.7
19690401 19690430    44.9
19690501 19690531    82.0
19690601 19690630   257.2
19690701 19690731    32.9
19690801 19690831   131.3
19690901 19690930    25.3
19691001 19691031   101.9
19691101 19691130   163.1
19691201 19691231    53.7
19700101 19700131   226.7
19700201 19700228    99.9
19700301 19700331   132.8
19700401 19700430    31.0
19700501 19700531     8.9
19700601 19700630     9.6
19700701 19700731     1.0
19700801 19700831    22.9
19700901 19700930   122.7
19701001 19701031    61.6
19701101 19701130   100.1
19701201 19701231   219.9
19710101 19710131   437.3
19710201 19710228   215.7
19710301 19710331    69.2
19710401 19710430    29.4
19710501 19710531   100.1
19710601 19710630   148.4
19710701 19710731    48.1
19710801 19710831    35.1
19710901 19710930    47.9
19711001 19711031     5.0
19711101 19711130    67.2
19711201 19711231   233.4
19720101 19720131   449.3
19720201 19720229    28.0
19720301 19720331   200.2
19720401 19720430    96.6
19720501 19720531    71.4
19720601 19720630   167.2
19720701 19720731    11.2
19720801 19720831    46.3
19720901 19720930    54.6
