PRCP       007053 19070101 20121231 missing_value=99999.9 MOUNT AUGUSTUS                            
19961001 19961031    16.0
19961101 19961130     0.0
19961201 19961231    24.0
19970101 19970131    45.0
19970201 19970228   211.0
19970301 19970331     0.0
19970401 19970430    61.6
19970501 19970531    18.8
19970601 19970630     3.0
19970701 19970731    38.0
19970801 19970831    33.2
19970901 19970930    18.0
19971001 19971031     0.0
19971101 19971130     0.0
19971201 19971231     6.8
19980101 19980131     0.0
19980201 19980228     6.0
19980301 19980331     0.0
19980401 19980430     5.4
19980501 19980531    56.0
19980601 19980630    40.0
19980701 19980731    84.2
19980801 19980831 99999.9
19980901 19980930 99999.9
19981001 19981031 99999.9
19981101 19981130 99999.9
19981201 19981231 99999.9
19990101 19990131    42.0
19990201 19990228   142.8
19990301 19990331 99999.9
19990401 19990430    11.0
19990501 19990531    42.0
19990601 19990630     0.0
19990701 19990731     0.0
19990801 19990831     0.0
19990901 19990930     0.0
19991001 19991031     0.0
19991101 19991130     0.0
19991201 19991231     0.0
20000101 20000131    38.8
20000201 20000229    17.6
20000301 20000331   244.4
20000401 20000430    25.2
20000501 20000531     0.0
20000601 20000630     0.0
20000701 20000731     9.4
20000801 20000831     3.0
20000901 20000930     0.0
20001001 20001031     0.0
20001101 20001130     0.0
20001201 20001231     6.9
20010101 20010131    60.1
20010201 20010228   137.1
20010301 20010331     0.0
20010401 20010430     4.8
20010501 20010531    20.8
20010601 20010630     0.0
20010701 20010731     0.0
20010801 20010831     0.0
20010901 20010930     0.4
20011001 20011031    14.3
20011101 20011130     0.0
20011201 20011231     0.0
20020101 20020131     0.0
20020201 20020228    12.4
20020301 20020331    24.5
20020401 20020430     5.2
20020501 20020531    29.1
20020601 20020630    25.6
20020701 20020731     1.0
20020801 20020831     5.0
