PRCP       038024 18910101 20171231 missing_value=99999.9 WINDORAH POST OFFICE                      
19630201 19630228    24.6
19630301 19630331   126.3
19630401 19630430     3.8
19630501 19630531     0.0
19630601 19630630    28.7
19630701 19630731     0.0
19630801 19630831    15.2
19630901 19630930     2.0
19631001 19631031     3.3
19631101 19631130     3.3
19631201 19631231     0.3
19640101 19640131    62.0
19640201 19640229    16.3
19640301 19640331     2.0
19640401 19640430    11.0
19640501 19640531     3.8
19640601 19640630     0.8
19640701 19640731     2.8
19640801 19640831     0.5
19640901 19640930    52.3
19641001 19641031    57.6
19641101 19641130     1.0
19641201 19641231     4.8
19650101 19650131     4.0
19650201 19650228    30.5
19650301 19650331     1.8
19650401 19650430     0.0
19650501 19650531     0.0
19650601 19650630     0.0
19650701 19650731     0.0
19650801 19650831    17.0
19650901 19650930     4.0
19651001 19651031     4.6
19651101 19651130     0.0
19651201 19651231    22.1
19660101 19660131    66.1
19660201 19660228     1.6
19660301 19660331     1.8
19660401 19660430     0.3
19660501 19660531    16.5
19660601 19660630     9.4
19660701 19660731     8.9
19660801 19660831     7.2
19660901 19660930    12.2
19661001 19661031     1.3
19661101 19661130    16.7
19661201 19661231    10.4
19670101 19670131     3.6
19670201 19670228     2.3
19670301 19670331    85.4
19670401 19670430     0.0
19670501 19670531     3.8
19670601 19670630    70.1
19670701 19670731     0.0
19670801 19670831     1.3
19670901 19670930     0.0
19671001 19671031     0.0
19671101 19671130     1.3
19671201 19671231    26.7
19680101 19680131    23.4
19680201 19680229    79.8
19680301 19680331     2.0
19680401 19680430    77.5
19680501 19680531    59.5
19680601 19680630     3.0
19680701 19680731    26.2
19680801 19680831     9.7
19680901 19680930     4.1
19681001 19681031     2.3
19681101 19681130     2.0
19681201 19681231     3.0
19690101 19690131     0.5
19690201 19690228    40.4
19690301 19690331    51.6
19690401 19690430     2.8
19690501 19690531    24.6
19690601 19690630    20.6
19690701 19690731    17.7
19690801 19690831     1.0
19690901 19690930     6.4
19691001 19691031     2.6
19691101 19691130     0.0
19691201 19691231     8.9
19700101 19700131    14.8
19700201 19700228     9.2
19700301 19700331    47.0
19700401 19700430    33.5
19700501 19700531     8.6
19700601 19700630     0.0
19700701 19700731     0.0
19700801 19700831     0.0
19700901 19700930    35.9
19701001 19701031     2.1
19701101 19701130    19.6
19701201 19701231     8.2
19710101 19710131    20.9
19710201 19710228     8.9
19710301 19710331   147.4
19710401 19710430    28.7
19710501 19710531    12.7
19710601 19710630     8.6
19710701 19710731     8.1
19710801 19710831    12.4
19710901 19710930     8.4
19711001 19711031     3.6
19711101 19711130    13.7
19711201 19711231     3.8
19720101 19720131    19.1
19720201 19720229     3.3
19720301 19720331    28.3
19720401 19720430     0.5
19720501 19720531     7.9
19720601 19720630     0.0
19720701 19720731     0.0
19720801 19720831     2.1
19720901 19720930     0.0
19721001 19721031     0.0
19721101 19721130    23.6
19721201 19721231     1.5
19730101 19730131    19.7
19730201 19730228   176.7
19730301 19730331     2.6
19730401 19730430    21.1
19730501 19730531     1.5
19730601 19730630    22.0
19730701 19730731    40.1
19730801 19730831    11.8
19730901 19730930     5.8
19731001 19731031    39.9
19731101 19731130    64.6
19731201 19731231    36.8
19740101 19740131   182.4
19740201 19740228    53.0
19740301 19740331    29.9
19740401 19740430    33.0
19740501 19740531    22.3
19740601 19740630     0.0
19740701 19740731     0.0
19740801 19740831    38.2
19740901 19740930    12.0
19741001 19741031    19.0
19741101 19741130    27.6
19741201 19741231     3.6
19750101 19750131    30.0
19750201 19750228   106.2
19750301 19750331    57.2
19750401 19750430     0.0
19750501 19750531     0.0
19750601 19750630     3.0
19750701 19750731    23.8
19750801 19750831    20.0
19750901 19750930    38.2
19751001 19751031    22.8
19751101 19751130    14.4
19751201 19751231   119.6
19760101 19760131   155.2
19760201 19760229   148.8
19760301 19760331    41.8
19760401 19760430     6.0
19760501 19760531     2.6
19760601 19760630     2.8
19760701 19760731     6.4
19760801 19760831     9.7
19760901 19760930     0.2
19761001 19761031    37.0
19761101 19761130    11.6
19761201 19761231    57.8
19770101 19770131    66.2
19770201 19770228   190.8
19770301 19770331    25.4
19770401 19770430     8.2
19770501 19770531    19.6
19770601 19770630     0.0
19770701 19770731     0.0
19770801 19770831     0.0
19770901 19770930    13.8
19771001 19771031     4.9
19771101 19771130     0.0
19771201 19771231    18.4
19780101 19780131    61.2
19780201 19780228     3.0
19780301 19780331    22.8
19780401 19780430     9.4
19780501 19780531   109.8
19780601 19780630     5.9
19780701 19780731   100.8
19780801 19780831    20.6
19780901 19780930     7.6
19781001 19781031    79.6
19781101 19781130    10.0
19781201 19781231    27.0
19790101 19790131    44.2
19790201 19790228   148.2
19790301 19790331     3.0
19790401 19790430     0.2
19790501 19790531    26.9
19790601 19790630    18.9
19790701 19790731     0.0
19790801 19790831     6.6
19790901 19790930    23.9
19791001 19791031     6.0
19791101 19791130     1.6
19791201 19791231    40.2
19800101 19800131    13.8
19800201 19800229    11.2
19800301 19800331     7.1
19800401 19800430     7.3
19800501 19800531    10.6
19800601 19800630     1.1
19800701 19800731     9.6
19800801 19800831     9.2
19800901 19800930     0.0
19801001 19801031     8.1
19801101 19801130     0.8
19801201 19801231    14.4
19810101 19810131    69.6
19810201 19810228    73.6
19810301 19810331    38.6
19810401 19810430     9.4
19810501 19810531    55.5
19810601 19810630    30.4
19810701 19810731    37.2
19810801 19810831     0.0
19810901 19810930     0.5
19811001 19811031    24.4
19811101 19811130    27.5
19811201 19811231     4.2
19820101 19820131    13.8
19820201 19820228    13.2
19820301 19820331    60.4
19820401 19820430     0.8
19820501 19820531    21.2
19820601 19820630     0.0
19820701 19820731     0.0
19820801 19820831     0.4
19820901 19820930    14.3
19821001 19821031     0.0
19821101 19821130     6.1
19821201 19821231     0.7
19830101 19830131    13.6
19830201 19830228     0.0
19830301 19830331    39.8
19830401 19830430    96.4
19830501 19830531    89.8
19830601 19830630     6.2
19830701 19830731     0.4
19830801 19830831    14.7
19830901 19830930     2.8
19831001 19831031     0.0
19831101 19831130    34.9
19831201 19831231     9.1
19840101 19840131    86.9
19840201 19840229     1.2
19840301 19840331    16.1
19840401 19840430     0.0
19840501 19840531     0.0
19840601 19840630     2.6
19840701 19840731   112.6
19840801 19840831     0.0
19840901 19840930     5.3
19841001 19841031    19.0
19841101 19841130     2.6
19841201 19841231    37.5
19850101 19850131     6.4
19850201 19850228    49.8
19850301 19850331     0.0
19850401 19850430     0.0
19850501 19850531     0.4
19850601 19850630     4.8
19850701 19850731     1.7
19850801 19850831    15.7
19850901 19850930     0.0
19851001 19851031    30.9
19851101 19851130    62.9
19851201 19851231    11.2
19860101 19860131     7.7
19860201 19860228     3.4
19860301 19860331     0.2
19860401 19860430     0.4
19860501 19860531     2.0
19860601 19860630     5.4
19860701 19860731    53.7
19860801 19860831    10.9
19860901 19860930     1.3
