PRCP       037049 18870101 20171031 missing_value=99999.9 WARRNAMBOOL DOWNS                         
19540401 19540430    43.4
19540501 19540531     0.0
19540601 19540630    19.1
19540701 19540731     0.0
19540801 19540831    10.2
19540901 19540930     0.0
19541001 19541031     8.9
19541101 19541130    10.2
19541201 19541231    16.5
19550101 19550131   103.5
19550201 19550228   130.0
19550301 19550331   144.8
19550401 19550430   106.1
19550501 19550531   163.6
19550601 19550630    11.7
19550701 19550731    34.4
19550801 19550831     0.0
19550901 19550930     0.0
19551001 19551031    28.4
19551101 19551130     0.0
19551201 19551231     7.9
19560101 19560131    12.7
19560201 19560229   184.3
19560301 19560331    98.7
19560401 19560430    26.7
19560501 19560531    29.7
19560601 19560630    15.7
19560701 19560731   112.3
19560801 19560831     0.0
19560901 19560930    10.9
19561001 19561031    14.5
19561101 19561130    25.9
19561201 19561231   134.4
19570101 19570131   120.7
19570201 19570228    52.8
19570301 19570331    17.1
19570401 19570430    10.4
19570501 19570531    19.1
19570601 19570630    28.2
19570701 19570731    19.8
19570801 19570831     0.0
19570901 19570930     0.0
19571001 19571031     8.4
19571101 19571130     1.9
19571201 19571231     2.7
19580101 19580131    42.5
19580201 19580228     8.2
19580301 19580331    68.5
19580401 19580430     8.2
19580501 19580531     7.5
19580601 19580630    23.9
19580701 19580731     0.4
19580801 19580831     1.1
19580901 19580930     0.5
19581001 19581031     7.8
19581101 19581130    36.3
19581201 19581231     4.3
19590101 19590131    23.1
19590201 19590228     1.3
19590301 19590331    37.8
19590401 19590430    10.7
19590501 19590531    80.2
19590601 19590630     0.7
19590701 19590731     0.1
19590801 19590831    10.7
19590901 19590930     2.8
19591001 19591031     0.1
19591101 19591130     0.0
19591201 19591231     6.1
19600101 19600131    20.3
19600201 19600229   153.4
19600301 19600331    19.1
19600401 19600430    21.4
19600501 19600531     0.0
19600601 19600630     1.3
19600701 19600731     7.6
19600801 19600831     2.3
19600901 19600930    23.3
19601001 19601031     5.1
19601101 19601130     0.0
19601201 19601231   116.5
19610101 19610131    20.8
19610201 19610228    81.2
19610301 19610331     0.0
19610401 19610430     0.0
19610501 19610531     7.6
19610601 19610630     0.0
19610701 19610731     7.6
19610801 19610831     0.0
19610901 19610930     0.0
19611001 19611031     3.0
19611101 19611130     6.1
19611201 19611231    75.3
19620101 19620131   110.8
19620201 19620228    10.6
19620301 19620331    24.7
19620401 19620430    42.5
19620501 19620531    14.7
19620601 19620630    16.5
19620701 19620731     5.3
19620801 19620831     0.0
19620901 19620930    26.2
19621001 19621031     6.1
19621101 19621130    32.2
19621201 19621231    69.6
19630101 19630131    22.3
19630201 19630228    29.2
19630301 19630331   121.5
19630401 19630430    69.8
19630501 19630531     0.0
19630601 19630630     0.0
19630701 19630731     0.0
19630801 19630831     0.0
19630901 19630930     0.0
19631001 19631031     0.0
19631101 19631130     2.5
19631201 19631231     0.0
19640101 19640131   100.8
19640201 19640229    61.5
19640301 19640331    31.0
19640401 19640430     0.0
19640501 19640531     0.0
19640601 19640630     0.0
19640701 19640731     9.4
19640801 19640831     0.0
19640901 19640930    20.3
19641001 19641031    50.3
19641101 19641130     0.0
19641201 19641231    36.3
19650101 19650131    22.1
19650201 19650228     5.1
19650301 19650331    42.4
19650401 19650430     2.8
19650501 19650531     0.0
19650601 19650630    10.7
19650701 19650731     0.0
19650801 19650831     0.0
19650901 19650930     0.0
19651001 19651031     0.0
19651101 19651130     2.0
19651201 19651231    48.1
19660101 19660131   102.5
19660201 19660228    55.6
19660301 19660331     0.0
19660401 19660430     0.0
19660501 19660531     1.5
19660601 19660630     4.9
19660701 19660731     0.0
19660801 19660831    58.2
19660901 19660930     6.1
19661001 19661031     0.0
19661101 19661130    52.8
19661201 19661231     5.8
19670101 19670131     2.0
19670201 19670228    30.8
19670301 19670331    54.6
19670401 19670430     0.0
19670501 19670531     4.6
19670601 19670630    39.8
19670701 19670731     0.0
19670801 19670831     0.0
19670901 19670930     0.0
19671001 19671031     0.0
19671101 19671130     0.0
19671201 19671231    16.7
19680101 19680131    15.3
19680201 19680229   217.4
19680301 19680331     3.0
19680401 19680430    63.0
19680501 19680531    96.8
19680601 19680630     0.0
19680701 19680731     6.5
19680801 19680831     1.5
19680901 19680930     3.0
19681001 19681031     0.0
19681101 19681130     0.0
19681201 19681231     2.3
19690101 19690131     3.8
19690201 19690228    14.3
19690301 19690331    32.2
19690401 19690430    22.9
19690501 19690531    21.1
19690601 19690630     0.0
19690701 19690731     3.0
19690801 19690831     0.0
19690901 19690930     0.0
19691001 19691031    11.2
19691101 19691130     4.1
19691201 19691231    74.1
19700101 19700131     1.5
19700201 19700228    79.0
19700301 19700331     6.1
19700401 19700430    20.3
19700501 19700531     0.0
19700601 19700630     0.0
19700701 19700731     0.0
19700801 19700831     0.0
19700901 19700930    19.0
19701001 19701031    16.8
19701101 19701130    13.2
19701201 19701231    34.3
19710101 19710131     7.9
19710201 19710228    20.8
19710301 19710331   146.3
19710401 19710430    45.2
19710501 19710531     0.0
19710601 19710630    10.2
19710701 19710731    22.9
19710801 19710831    48.2
19710901 19710930     0.0
19711001 19711031    55.4
19711101 19711130    24.9
19711201 19711231    54.4
19720101 19720131    66.5
19720201 19720229    12.2
19720301 19720331    43.4
19720401 19720430     0.0
19720501 19720531     8.4
19720601 19720630     0.0
19720701 19720731     0.0
19720801 19720831     0.0
19720901 19720930     0.0
19721001 19721031     0.0
19721101 19721130    16.0
19721201 19721231     0.0
19730101 19730131    24.6
19730201 19730228   195.8
19730301 19730331   262.3
19730401 19730430     0.0
19730501 19730531    19.8
19730601 19730630     0.0
19730701 19730731     8.4
19730801 19730831     0.0
19730901 19730930     3.6
19731001 19731031     5.1
19731101 19731130    46.7
19731201 19731231    71.2
19740101 19740131   389.3
19740201 19740228    74.6
19740301 19740331    67.7
19740401 19740430    27.0
19740501 19740531    52.0
19740601 19740630     0.0
19740701 19740731     0.0
19740801 19740831     0.0
19740901 19740930     4.2
19741001 19741031     4.4
19741101 19741130    15.0
19741201 19741231    38.0
19750101 19750131   125.0
19750201 19750228    26.4
19750301 19750331    24.8
19750401 19750430    22.4
19750501 19750531     0.0
19750601 19750630     0.0
19750701 19750731     0.0
19750801 19750831     0.0
19750901 19750930    23.4
19751001 19751031    31.0
19751101 19751130     0.0
19751201 19751231    27.8
19760101 19760131    94.0
19760201 19760229   279.6
19760301 19760331    17.2
19760401 19760430     2.6
19760501 19760531    11.8
19760601 19760630     0.0
19760701 19760731     2.0
19760801 19760831     0.0
19760901 19760930     6.0
19761001 19761031     9.0
19761101 19761130     0.0
19761201 19761231    94.9
19770101 19770131    93.9
19770201 19770228   150.8
19770301 19770331    51.1
19770401 19770430    35.0
19770501 19770531    52.2
19770601 19770630     0.0
19770701 19770731     0.0
19770801 19770831     0.0
19770901 19770930     0.0
19771001 19771031     0.0
19771101 19771130     0.0
19771201 19771231    63.8
19780101 19780131    36.2
19780201 19780228     0.0
19780301 19780331    23.4
19780401 19780430     7.0
19780501 19780531    51.4
19780601 19780630    11.8
19780701 19780731   113.6
19780801 19780831     8.0
19780901 19780930    54.2
19781001 19781031   125.8
19781101 19781130     0.0
19781201 19781231    30.8
19790101 19790131    25.4
19790201 19790228   163.5
19790301 19790331     7.0
19790401 19790430    35.6
19790501 19790531     0.0
19790601 19790630    44.6
19790701 19790731     0.0
19790801 19790831     0.0
19790901 19790930    15.6
19791001 19791031     3.0
19791101 19791130     1.2
19791201 19791231    74.0
19800101 19800131   193.1
19800201 19800229    99.5
19800301 19800331    84.7
19800401 19800430     1.0
19800501 19800531     0.0
19800601 19800630     0.0
19800701 19800731     0.0
19800801 19800831     0.0
19800901 19800930     0.0
19801001 19801031     1.8
19801101 19801130     4.5
19801201 19801231    36.1
19810101 19810131   175.2
19810201 19810228   111.2
19810301 19810331   118.8
19810401 19810430     0.0
19810501 19810531    74.0
19810601 19810630     0.0
19810701 19810731    58.0
19810801 19810831     0.0
19810901 19810930     0.0
19811001 19811031    59.7
19811101 19811130    27.4
19811201 19811231     4.4
19820101 19820131    17.8
19820201 19820228    15.2
19820301 19820331    12.4
19820401 19820430     0.0
19820501 19820531     0.0
19820601 19820630     0.0
19820701 19820731     0.0
19820801 19820831     8.0
