PRCP       009519 19030901 20180131 missing_value=99999.9 CAPE NATURALISTE                          
19861101 19861130    21.2
19861201 19861231     0.6
19870101 19870131     7.2
19870201 19870228     0.0
19870301 19870331    22.8
19870401 19870430    53.0
19870501 19870531    66.3
19870601 19870630   135.9
19870701 19870731   129.3
19870801 19870831    50.1
19870901 19870930    47.8
19871001 19871031    34.6
19871101 19871130    30.0
19871201 19871231     6.9
19880101 19880131     9.1
19880201 19880229     5.0
19880301 19880331    14.6
19880401 19880430    19.6
19880501 19880531   124.5
19880601 19880630   234.1
19880701 19880731   120.2
19880801 19880831   156.7
19880901 19880930    86.5
19881001 19881031    40.0
19881101 19881130    34.2
19881201 19881231     0.6
19890101 19890131    27.2
19890201 19890228    57.8
19890301 19890331     5.1
19890401 19890430    34.4
19890501 19890531    99.6
19890601 19890630   117.4
19890701 19890731   184.6
19890801 19890831   125.0
19890901 19890930    61.7
19891001 19891031    92.4
19891101 19891130     5.0
19891201 19891231    15.2
19900101 19900131    10.6
19900201 19900228    20.0
19900301 19900331    37.2
19900401 19900430    86.8
19900501 19900531    88.4
19900601 19900630    68.8
19900701 19900731   184.8
19900801 19900831    92.4
19900901 19900930    71.4
19901001 19901031    63.2
19901101 19901130    16.0
19901201 19901231     3.8
19910101 19910131     1.8
19910201 19910228    25.8
19910301 19910331     6.6
19910401 19910430    40.8
19910501 19910531   183.2
19910601 19910630   173.6
19910701 19910731   121.4
19910801 19910831    94.4
19910901 19910930    65.4
19911001 19911031    16.6
19911101 19911130    60.6
19911201 19911231     2.4
19920101 19920131     0.6
19920201 19920229    19.2
19920301 19920331    70.0
19920401 19920430    21.6
19920501 19920531    96.9
19920601 19920630   208.4
19920701 19920731   133.0
19920801 19920831   204.7
19920901 19920930    68.2
19921001 19921031    15.8
19921101 19921130    81.2
19921201 19921231     8.4
19930101 19930131     2.2
19930201 19930228     0.2
19930301 19930331    26.2
19930401 19930430    17.4
19930501 19930531    80.4
19930601 19930630   100.7
19930701 19930731   142.4
19930801 19930831    85.4
19930901 19930930    90.8
19931001 19931031    30.2
19931101 19931130    11.8
19931201 19931231     1.8
19940101 19940131     1.0
19940201 19940228    11.0
19940301 19940331     5.6
19940401 19940430    16.0
19940501 19940531   144.2
19940601 19940630   160.8
19940701 19940731   165.4
19940801 19940831    72.2
19940901 19940930    46.0
19941001 19941031    39.8
19941101 19941130     5.8
19941201 19941231     0.4
19950101 19950131     1.0
19950201 19950228     3.8
19950301 19950331     1.8
19950401 19950430    30.6
19950501 19950531   143.2
19950601 19950630   181.8
19950701 19950731   232.8
19950801 19950831    86.8
19950901 19950930    80.2
19951001 19951031    66.8
19951101 19951130    27.4
19951201 19951231     6.8
19960101 19960131     9.0
19960201 19960229     0.0
19960301 19960331     4.4
19960401 19960430    14.2
19960501 19960531    55.8
19960601 19960630   154.8
19960701 19960731   338.0
19960801 19960831   105.6
19960901 19960930   153.4
19961001 19961031   110.4
19961101 19961130    35.8
19961201 19961231    35.8
19970101 19970131     3.6
19970201 19970228    46.2
19970301 19970331    23.2
19970401 19970430    19.0
19970501 19970531   138.0
19970601 19970630   201.2
19970701 19970731   105.4
19970801 19970831   169.0
19970901 19970930    89.6
19971001 19971031    18.6
19971101 19971130    21.2
19971201 19971231     0.0
19980101 19980131     7.6
19980201 19980228     1.2
19980301 19980331   154.0
19980401 19980430     8.8
19980501 19980531    70.4
19980601 19980630   229.2
19980701 19980731   147.8
19980801 19980831   172.4
19980901 19980930    95.2
19981001 19981031    25.4
19981101 19981130     8.6
19981201 19981231    11.8
19990101 19990131     1.6
19990201 19990228     0.0
19990301 19990331    13.6
19990401 19990430    35.0
19990501 19990531   240.0
