PRCP       026026 19010101 20180131 missing_value=99999.9 ROBE                                      
19580801 19580831   136.3
19580901 19580930    83.6
19581001 19581031    73.7
19581101 19581130    29.1
19581201 19581231    12.1
19590101 19590131     1.8
19590201 19590228    26.3
19590301 19590331    58.2
19590401 19590430    15.6
19590501 19590531    11.7
19590601 19590630    31.3
19590701 19590731    61.1
19590801 19590831    64.9
19590901 19590930    52.5
19591001 19591031    16.1
19591101 19591130    29.9
19591201 19591231    51.3
19600101 19600131     9.5
19600201 19600229    65.1
19600301 19600331    43.5
19600401 19600430    73.0
19600501 19600531   128.0
19600601 19600630    78.2
19600701 19600731    93.5
19600801 19600831   106.3
19600901 19600930   121.2
19601001 19601031    29.6
19601101 19601130    18.4
19601201 19601231    16.1
19610101 19610131     7.4
19610201 19610228     7.9
19610301 19610331    10.2
19610401 19610430    92.3
19610501 19610531    41.3
19610601 19610630    57.3
19610701 19610731   108.0
19610801 19610831    53.1
19610901 19610930    40.1
19611001 19611031    33.2
19611101 19611130    14.3
19611201 19611231    18.3
19620101 19620131     8.5
19620201 19620228    36.2
19620301 19620331    29.2
19620401 19620430    18.5
19620501 19620531   110.6
19620601 19620630   102.0
19620701 19620731    81.9
19620801 19620831    83.0
19620901 19620930    86.2
19621001 19621031    63.7
19621101 19621130    28.5
19621201 19621231    48.8
19630101 19630131    95.0
19630201 19630228     1.0
19630301 19630331     6.1
19630401 19630430    39.2
19630501 19630531    43.7
19630601 19630630    65.3
19630701 19630731   110.8
19630801 19630831    89.4
19630901 19630930    92.6
19631001 19631031     9.3
19631101 19631130    11.4
19631201 19631231     3.9
19640101 19640131    12.1
19640201 19640229    19.5
19640301 19640331    17.7
19640401 19640430    23.2
19640501 19640531    69.0
19640601 19640630   118.6
19640701 19640731   210.2
19640801 19640831    81.5
19640901 19640930    69.6
19641001 19641031    89.7
19641101 19641130    60.4
19641201 19641231    59.6
19650101 19650131     3.9
19650201 19650228     0.0
19650301 19650331    36.0
19650401 19650430    54.8
19650501 19650531   102.1
19650601 19650630    71.2
19650701 19650731   104.6
19650801 19650831    98.8
19650901 19650930    44.2
19651001 19651031    15.1
19651101 19651130    34.6
19651201 19651231    18.4
19660101 19660131     6.1
19660201 19660228    14.2
19660301 19660331    21.4
19660401 19660430    12.2
19660501 19660531    80.8
19660601 19660630    57.5
19660701 19660731   112.6
19660801 19660831    54.3
19660901 19660930    98.2
19661001 19661031    34.7
19661101 19661130    32.3
19661201 19661231    63.9
19670101 19670131     4.8
19670201 19670228    22.0
19670301 19670331     9.6
19670401 19670430     8.9
19670501 19670531    14.3
19670601 19670630    25.7
19670701 19670731   111.9
19670801 19670831    60.8
19670901 19670930    27.2
19671001 19671031     6.4
19671101 19671130    12.6
19671201 19671231    39.0
19680101 19680131    13.6
19680201 19680229    10.5
19680301 19680331    51.1
19680401 19680430   100.1
19680501 19680531   119.6
19680601 19680630    64.2
19680701 19680731   102.0
19680801 19680831   110.3
19680901 19680930    45.8
19681001 19681031    61.9
19681101 19681130    60.5
19681201 19681231    24.8
19690101 19690131    11.5
19690201 19690228    47.0
19690301 19690331    22.2
19690401 19690430    43.6
19690501 19690531   126.7
19690601 19690630    26.3
19690701 19690731   115.2
19690801 19690831    35.7
19690901 19690930    76.0
19691001 19691031    22.9
19691101 19691130    21.5
19691201 19691231    41.4
19700101 19700131    26.0
19700201 19700228     2.1
19700301 19700331    22.7
19700401 19700430    68.8
19700501 19700531    65.9
19700601 19700630    96.2
19700701 19700731    78.5
19700801 19700831    93.5
19700901 19700930    65.5
19701001 19701031    22.2
19701101 19701130    53.7
19701201 19701231    44.6
19710101 19710131     3.9
19710201 19710228     0.6
19710301 19710331    13.2
19710401 19710430   115.0
19710501 19710531    76.3
19710601 19710630   130.7
19710701 19710731    79.0
19710801 19710831   129.3
19710901 19710930    52.8
19711001 19711031    65.5
19711101 19711130    74.3
19711201 19711231    62.0
19720101 19720131    91.8
19720201 19720229    28.5
19720301 19720331     4.5
19720401 19720430    52.0
19720501 19720531    24.0
19720601 19720630    79.3
19720701 19720731   123.2
19720801 19720831    72.1
19720901 19720930    28.7
19721001 19721031    22.4
19721101 19721130    24.4
19721201 19721231     3.1
19730101 19730131     9.6
19730201 19730228    22.4
19730301 19730331    70.8
19730401 19730430    63.8
19730501 19730531    78.5
19730601 19730630   135.9
19730701 19730731    73.0
19730801 19730831   103.1
19730901 19730930    80.8
19731001 19731031    40.4
19731101 19731130    14.5
19731201 19731231    33.1
19740101 19740131    23.7
19740201 19740228    62.1
19740301 19740331    17.4
19740401 19740430    89.4
19740501 19740531    43.3
19740601 19740630    51.1
19740701 19740731   175.6
19740801 19740831    83.0
19740901 19740930    96.0
19741001 19741031    96.4
19741101 19741130    28.5
19741201 19741231    19.5
19750101 19750131    16.8
19750201 19750228     4.5
19750301 19750331    42.6
19750401 19750430    22.4
19750501 19750531   133.4
19750601 19750630    92.2
19750701 19750731   173.4
19750801 19750831   100.8
19750901 19750930    48.8
19751001 19751031   105.7
19751101 19751130    37.6
19751201 19751231     7.8
19760101 19760131     8.4
19760201 19760229    39.0
19760301 19760331     3.4
19760401 19760430    43.2
19760501 19760531    38.0
19760601 19760630   105.5
19760701 19760731    75.2
19760801 19760831    75.8
19760901 19760930    71.1
19761001 19761031    24.8
19761101 19761130    28.9
19761201 19761231    73.8
19770101 19770131    25.6
19770201 19770228    19.1
19770301 19770331    52.3
19770401 19770430    44.9
19770501 19770531    78.1
19770601 19770630    91.4
19770701 19770731    54.3
19770801 19770831    53.1
19770901 19770930    32.7
19771001 19771031    36.1
19771101 19771130    72.3
19771201 19771231    11.4
19780101 19780131    13.0
19780201 19780228     9.4
19780301 19780331    20.9
19780401 19780430    35.6
19780501 19780531    48.4
19780601 19780630    98.3
19780701 19780731   140.0
19780801 19780831    91.4
19780901 19780930    62.4
19781001 19781031    17.0
19781101 19781130    42.3
19781201 19781231    25.4
19790101 19790131    12.0
19790201 19790228    33.6
19790301 19790331    11.3
19790401 19790430    61.0
19790501 19790531    79.7
19790601 19790630    94.2
19790701 19790731    85.6
19790801 19790831   107.6
19790901 19790930   116.2
19791001 19791031    54.6
19791101 19791130    68.4
19791201 19791231    24.2
19800101 19800131    19.7
19800201 19800229     1.2
19800301 19800331     1.1
19800401 19800430    88.1
19800501 19800531    77.6
19800601 19800630    93.6
19800701 19800731   112.8
19800801 19800831    58.0
19800901 19800930    55.7
19801001 19801031    66.4
19801101 19801130    24.3
19801201 19801231    17.1
19810101 19810131    21.0
19810201 19810228     5.4
19810301 19810331    52.0
19810401 19810430    18.8
19810501 19810531    69.8
19810601 19810630   140.6
19810701 19810731   140.0
19810801 19810831   154.0
19810901 19810930    31.0
19811001 19811031    37.8
19811101 19811130    27.8
19811201 19811231     4.1
19820101 19820131    42.4
19820201 19820228     2.0
19820301 19820331    42.2
19820401 19820430    48.2
19820501 19820531    73.2
19820601 19820630   101.6
19820701 19820731    78.4
19820801 19820831    39.0
19820901 19820930    32.6
19821001 19821031    21.2
19821101 19821130     6.6
19821201 19821231     5.2
19830101 19830131    20.6
19830201 19830228     0.8
19830301 19830331   123.6
19830401 19830430    50.8
19830501 19830531    89.6
19830601 19830630    61.6
19830701 19830731    96.8
19830801 19830831   123.8
19830901 19830930    80.4
19831001 19831031    18.2
19831101 19831130    43.4
19831201 19831231    35.7
19840101 19840131     4.6
19840201 19840229     4.8
19840301 19840331    63.4
19840401 19840430    38.4
19840501 19840531    54.4
19840601 19840630    79.0
19840701 19840731   101.2
19840801 19840831   192.0
19840901 19840930    82.9
19841001 19841031    37.4
19841101 19841130    80.0
19841201 19841231    20.6
19850101 19850131     4.8
19850201 19850228     4.2
19850301 19850331    42.6
19850401 19850430   107.4
19850501 19850531    68.8
19850601 19850630    88.0
19850701 19850731    91.6
19850801 19850831    94.6
19850901 19850930    43.6
19851001 19851031    48.0
19851101 19851130    15.2
19851201 19851231    29.8
19860101 19860131     7.0
19860201 19860228     2.8
19860301 19860331     3.4
19860401 19860430    84.8
19860501 19860531    53.4
19860601 19860630    57.8
19860701 19860731   105.4
19860801 19860831   127.4
19860901 19860930    65.8
19861001 19861031    60.6
19861101 19861130    10.4
19861201 19861231    54.8
19870101 19870131     1.4
19870201 19870228     8.6
19870301 19870331    12.4
19870401 19870430    19.3
19870501 19870531   131.4
19870601 19870630    76.0
19870701 19870731   125.2
19870801 19870831    58.0
19870901 19870930    22.2
19871001 19871031    45.6
19871101 19871130    10.0
19871201 19871231    36.2
19880101 19880131    40.2
