PRCP       022801 18731101 20070731 missing_value=99999.9 CAPE BORDA                                
19350601 19350630   144.6
19350701 19350731   134.4
19350801 19350831    88.8
19350901 19350930    66.8
19351001 19351031    38.4
19351101 19351130    27.0
19351201 19351231    20.7
19360101 19360131    27.7
19360201 19360229     5.1
19360301 19360331     8.2
19360401 19360430    50.9
19360501 19360531    57.1
19360601 19360630    68.6
19360701 19360731   119.4
19360801 19360831   100.7
19360901 19360930    19.5
19361001 19361031    74.1
19361101 19361130    11.5
19361201 19361231    34.4
19370101 19370131    22.6
19370201 19370228    21.8
19370301 19370331    14.5
19370401 19370430    40.2
19370501 19370531   140.8
19370601 19370630   101.6
19370701 19370731    78.3
19370801 19370831    87.6
19370901 19370930    96.6
19371001 19371031    25.7
19371101 19371130    38.2
19371201 19371231    77.1
19380101 19380131    12.6
19380201 19380228   107.4
19380301 19380331     3.9
19380401 19380430    64.1
19380501 19380531    56.7
19380601 19380630   112.9
19380701 19380731    68.7
19380801 19380831   115.1
19380901 19380930    23.7
19381001 19381031    20.1
19381101 19381130    11.4
19381201 19381231     4.4
19390101 19390131    52.8
19390201 19390228    23.6
19390301 19390331    26.4
19390401 19390430    55.6
19390501 19390531    54.2
19390601 19390630   191.4
19390701 19390731   116.6
19390801 19390831   162.1
19390901 19390930    17.6
19391001 19391031    63.0
19391101 19391130    33.0
19391201 19391231    12.6
19400101 19400131    29.8
19400201 19400229    10.8
19400301 19400331    17.5
19400401 19400430    58.7
19400501 19400531    48.6
19400601 19400630    72.6
19400701 19400731   129.2
19400801 19400831    51.9
19400901 19400930    33.3
19401001 19401031    31.9
19401101 19401130    31.2
19401201 19401231    11.4
19410101 19410131    24.4
19410201 19410228     7.4
19410301 19410331    39.6
19410401 19410430    38.3
19410501 19410531    32.7
19410601 19410630    71.3
19410701 19410731   136.4
19410801 19410831    64.2
19410901 19410930    85.3
19411001 19411031    18.5
19411101 19411130    19.0
19411201 19411231     9.5
19420101 19420131    13.4
19420201 19420228    42.9
19420301 19420331    15.9
19420401 19420430    26.8
19420501 19420531   147.7
19420601 19420630   211.3
19420701 19420731   105.6
19420801 19420831   106.7
19420901 19420930    91.6
19421001 19421031    14.6
19421101 19421130    16.0
19421201 19421231    21.8
19430101 19430131    14.2
19430201 19430228    37.6
19430301 19430331    13.5
19430401 19430430    50.6
19430501 19430531    53.8
19430601 19430630   123.9
19430701 19430731   175.3
19430801 19430831   102.7
19430901 19430930    51.8
19431001 19431031    40.3
19431101 19431130    28.9
19431201 19431231    19.6
19440101 19440131     4.2
19440201 19440229    16.3
19440301 19440331    24.2
19440401 19440430    74.3
19440501 19440531   157.8
19440601 19440630    23.5
19440701 19440731    82.1
19440801 19440831    21.8
19440901 19440930    39.8
19441001 19441031    83.3
19441101 19441130    57.2
19441201 19441231    31.0
19450101 19450131    10.2
19450201 19450228    49.4
19450301 19450331     7.6
19450401 19450430     4.4
19450501 19450531    59.2
19450601 19450630    94.2
19450701 19450731    45.4
19450801 19450831    74.2
19450901 19450930    65.0
19451001 19451031    28.2
19451101 19451130    46.2
19451201 19451231    38.3
19460101 19460131    73.0
19460201 19460228    76.4
19460301 19460331    37.8
19460401 19460430    41.8
19460501 19460531    67.2
19460601 19460630    77.3
19460701 19460731   125.8
19460801 19460831    50.1
19460901 19460930    26.6
19461001 19461031    28.7
19461101 19461130    20.1
19461201 19461231    32.0
19470101 19470131     5.2
19470201 19470228     0.0
19470301 19470331    72.8
19470401 19470430    61.4
19470501 19470531    50.4
19470601 19470630    89.5
19470701 19470731   144.3
19470801 19470831    60.6
19470901 19470930    76.0
19471001 19471031    97.1
19471101 19471130    49.6
19471201 19471231    38.6
19480101 19480131     7.9
19480201 19480229    46.9
19480301 19480331     9.8
19480401 19480430    71.0
19480501 19480531    68.5
19480601 19480630    67.8
19480701 19480731   108.5
19480801 19480831    82.6
19480901 19480930    40.9
19481001 19481031    67.1
19481101 19481130    33.0
19481201 19481231    12.6
19490101 19490131     8.0
19490201 19490228    38.0
19490301 19490331     3.6
19490401 19490430    22.8
19490501 19490531    71.7
19490601 19490630    87.6
19490701 19490731   101.1
19490801 19490831    48.8
19490901 19490930    42.2
19491001 19491031   119.9
19491101 19491130    85.5
19491201 19491231    10.0
19500101 19500131     6.0
19500201 19500228     3.0
19500301 19500331     4.2
19500401 19500430    15.5
19500501 19500531    65.9
19500601 19500630    82.4
19500701 19500731    78.9
19500801 19500831   113.8
19500901 19500930    51.2
19501001 19501031    94.8
19501101 19501130    35.7
19501201 19501231    17.0
19510101 19510131    29.7
19510201 19510228     6.6
19510301 19510331     3.4
19510401 19510430    55.0
19510501 19510531   129.8
19510601 19510630    89.3
19510701 19510731   132.2
19510801 19510831   137.5
19510901 19510930    22.3
19511001 19511031    66.7
19511101 19511130    10.2
19511201 19511231    39.3
19520101 19520131    42.2
19520201 19520229    20.4
19520301 19520331     6.5
19520401 19520430    24.0
19520501 19520531   135.2
19520601 19520630    51.1
19520701 19520731    84.7
19520801 19520831    55.4
19520901 19520930    67.1
19521001 19521031    25.3
19521101 19521130    21.0
19521201 19521231    16.5
19530101 19530131     6.2
19530201 19530228    14.5
19530301 19530331     1.0
19530401 19530430    34.3
19530501 19530531    37.9
19530601 19530630   143.7
19530701 19530731   116.2
19530801 19530831    96.3
19530901 19530930    36.9
19531001 19531031    13.4
19531101 19531130    37.9
19531201 19531231    43.9
19540101 19540131     5.1
19540201 19540228     1.3
19540301 19540331    12.4
19540401 19540430   117.4
19540501 19540531    34.2
19540601 19540630   160.3
19540701 19540731   108.1
