PRCP       089033 18790501 20180131 missing_value=99999.9 WICKLIFFE                                 
19500301 19500331    65.0
19500401 19500430    68.8
19500501 19500531    40.3
19500601 19500630    18.0
19500701 19500731    32.4
19500801 19500831    55.7
19500901 19500930    69.6
19501001 19501031    34.7
19501101 19501130    31.9
19501201 19501231    37.0
19510101 19510131     8.6
19510201 19510228    68.9
19510301 19510331     2.0
19510401 19510430    80.4
19510501 19510531    65.8
19510601 19510630    23.1
19510701 19510731    71.4
19510801 19510831    96.3
19510901 19510930    25.4
19511001 19511031    60.1
19511101 19511130    31.5
19511201 19511231    29.5
19520101 19520131    67.6
19520201 19520229    34.0
19520301 19520331    12.1
19520401 19520430    49.0
19520501 19520531    60.6
19520601 19520630    82.0
19520701 19520731    43.3
19520801 19520831    64.7
19520901 19520930    50.8
19521001 19521031    69.9
19521101 19521130    88.9
19521201 19521231    25.9
19530101 19530131    19.4
19530201 19530228     3.3
19530301 19530331     3.3
19530401 19530430    22.5
19530501 19530531    30.4
19530601 19530630    43.1
19530701 19530731    59.3
19530801 19530831    81.0
19530901 19530930    51.6
19531001 19531031    45.3
19531101 19531130   103.7
19531201 19531231    31.7
19540101 19540131    61.5
19540201 19540228     8.2
19540301 19540331    12.4
19540401 19540430    86.7
19540501 19540531    32.5
19540601 19540630    53.9
19540701 19540731    38.5
19540801 19540831    39.4
19540901 19540930    41.9
19541001 19541031    51.9
19541101 19541130   102.8
19541201 19541231    63.1
19550101 19550131    19.3
19550201 19550228    44.7
19550301 19550331     6.1
19550401 19550430    39.0
19550501 19550531    41.3
19550601 19550630    66.9
19550701 19550731    35.1
19550801 19550831   120.5
19550901 19550930    43.8
19551001 19551031    58.5
19551101 19551130    27.5
19551201 19551231    61.2
19560101 19560131    22.6
19560201 19560229     0.0
19560301 19560331   120.8
19560401 19560430    71.3
19560501 19560531    96.4
19560601 19560630    89.0
19560701 19560731    40.7
19560801 19560831    63.0
19560901 19560930    56.2
19561001 19561031    52.0
19561101 19561130    40.8
19561201 19561231    16.4
19570101 19570131     1.6
19570201 19570228   105.5
19570301 19570331    33.7
19570401 19570430    30.2
19570501 19570531    46.9
19570601 19570630    37.0
19570701 19570731    13.2
19570801 19570831    45.7
19570901 19570930    66.4
19571001 19571031    66.6
19571101 19571130    40.9
19571201 19571231    53.8
19580101 19580131    38.9
19580201 19580228    26.2
19580301 19580331     9.3
19580401 19580430    20.8
19580501 19580531    94.7
19580601 19580630    23.6
19580701 19580731    72.0
19580801 19580831    88.6
19580901 19580930    65.8
19581001 19581031    76.2
19581101 19581130    65.4
19581201 19581231    18.3
19590101 19590131    37.8
19590201 19590228    49.0
19590301 19590331   108.2
19590401 19590430    37.6
19590501 19590531    16.7
19590601 19590630    36.0
19590701 19590731    39.5
19590801 19590831    81.7
19590901 19590930    41.2
19591001 19591031    59.4
19591101 19591130    31.4
19591201 19591231    74.4
19600101 19600131    26.9
19600201 19600229    85.9
19600301 19600331    35.9
19600401 19600430    96.7
19600501 19600531    98.3
19600601 19600630    41.9
19600701 19600731    75.0
19600801 19600831    50.6
19600901 19600930   106.8
19601001 19601031    21.9
19601101 19601130    97.1
19601201 19601231    26.2
19610101 19610131    11.2
19610201 19610228     9.2
19610301 19610331    26.0
19610401 19610430   113.9
19610501 19610531    36.4
19610601 19610630    58.1
19610701 19610731    81.3
19610801 19610831    54.5
19610901 19610930    40.2
19611001 19611031    42.6
19611101 19611130    18.9
19611201 19611231    33.5
19620101 19620131    35.1
19620201 19620228    23.0
19620301 19620331    38.2
19620401 19620430    15.3
19620501 19620531    65.4
19620601 19620630    74.4
19620701 19620731    23.0
19620801 19620831    79.4
19620901 19620930    49.6
19621001 19621031    92.8
19621101 19621130    26.2
19621201 19621231    20.0
19630101 19630131   154.5
19630201 19630228    19.1
19630301 19630331    15.1
19630401 19630430     7.7
19630501 19630531    99.4
19630601 19630630    36.8
19630701 19630731    69.8
19630801 19630831    49.1
19630901 19630930    68.6
19631001 19631031    36.8
19631101 19631130    13.2
19631201 19631231     6.2
19640101 19640131    13.6
19640201 19640229    56.3
19640301 19640331    28.5
19640401 19640430   112.2
19640501 19640531    58.3
19640601 19640630    56.6
19640701 19640731   128.6
19640801 19640831    69.2
19640901 19640930   105.2
19641001 19641031    83.1
19641101 19641130    94.2
19641201 19641231    65.3
