PRCP       024515 18890801 20171231 missing_value=99999.9 LANGHORNE CREEK                           
19660501 19660531    38.6
19660601 19660630    50.3
19660701 19660731    55.1
19660801 19660831    40.1
19660901 19660930    41.5
19661001 19661031    27.7
19661101 19661130    16.2
19661201 19661231    53.8
19670101 19670131    13.0
19670201 19670228    24.2
19670301 19670331     2.8
19670401 19670430     5.1
19670501 19670531    10.5
19670601 19670630    14.8
19670701 19670731    31.7
19670801 19670831    48.9
19670901 19670930    29.0
19671001 19671031    13.9
19671101 19671130     0.3
19671201 19671231     7.8
19680101 19680131    50.3
19680201 19680229    17.3
19680301 19680331    49.6
19680401 19680430    41.8
19680501 19680531    75.4
19680601 19680630    32.1
19680701 19680731    48.8
19680801 19680831    33.9
19680901 19680930    23.2
19681001 19681031    34.0
19681101 19681130    21.3
19681201 19681231    27.2
19690101 19690131     4.0
19690201 19690228   130.6
19690301 19690331    28.7
19690401 19690430    14.3
19690501 19690531    56.6
19690601 19690630    18.1
19690701 19690731    47.9
19690801 19690831    41.2
19690901 19690930    55.4
19691001 19691031     8.1
19691101 19691130    24.3
19691201 19691231    31.0
19700101 19700131    69.6
19700201 19700228     1.3
19700301 19700331    18.6
19700401 19700430    28.2
19700501 19700531    50.5
19700601 19700630    33.4
19700701 19700731    28.7
19700801 19700831    55.1
19700901 19700930    56.5
19701001 19701031    10.5
19701101 19701130    48.0
19701201 19701231    49.8
19710101 19710131     6.1
19710201 19710228     3.1
19710301 19710331    48.5
19710401 19710430    70.9
19710501 19710531    47.6
19710601 19710630    37.0
19710701 19710731    31.1
19710801 19710831    53.3
19710901 19710930    43.0
19711001 19711031    16.5
19711101 19711130    59.7
19711201 19711231    39.4
19720101 19720131    48.7
19720201 19720229    33.6
19720301 19720331     1.8
19720401 19720430    28.7
19720501 19720531    15.4
19720601 19720630    25.6
19720701 19720731    45.3
19720801 19720831    43.0
19720901 19720930    18.1
19721001 19721031    26.2
19721101 19721130    23.3
19721201 19721231    11.0
19730101 19730131    30.5
19730201 19730228    64.3
19730301 19730331    32.0
19730401 19730430    11.6
19730501 19730531    29.0
19730601 19730630    53.1
19730701 19730731    31.7
19730801 19730831    46.8
