PRCP       089005 18821001 20180131 missing_value=99999.9 BEAUFORT                                  
19621101 19621130    27.4
19621201 19621231    32.8
19630101 19630131   233.7
19630201 19630228    41.8
19630301 19630331    26.7
19630401 19630430     9.4
19630501 19630531   118.7
19630601 19630630    47.7
19630701 19630731    88.9
19630801 19630831    68.2
19630901 19630930    77.2
19631001 19631031    50.2
19631101 19631130    16.6
19631201 19631231    16.1
19640101 19640131     8.4
19640201 19640229    70.1
19640301 19640331    21.3
19640401 19640430   117.7
19640501 19640531    60.4
19640601 19640630    53.2
19640701 19640731   114.3
19640801 19640831    89.2
19640901 19640930   140.7
19641001 19641031   101.2
19641101 19641130    83.9
19641201 19641231    93.5
19650101 19650131    17.1
19650201 19650228     3.3
19650301 19650331    22.1
19650401 19650430    64.0
19650501 19650531    56.4
19650601 19650630    43.6
19650701 19650731    95.7
19650801 19650831   102.5
19650901 19650930    27.7
19651001 19651031    17.3
19651101 19651130    72.0
19651201 19651231    55.6
19660101 19660131    25.4
19660201 19660228    72.9
19660301 19660331    77.9
19660401 19660430    30.2
19660501 19660531    26.4
19660601 19660630    30.5
19660701 19660731    83.9
19660801 19660831    93.6
19660901 19660930    73.5
19661001 19661031    63.7
19661101 19661130    36.2
19661201 19661231    83.9
19670101 19670131    12.0
19670201 19670228     9.7
19670301 19670331    13.3
19670401 19670430    10.7
19670501 19670531    28.1
19670601 19670630    18.2
19670701 19670731    43.6
19670801 19670831    67.8
19670901 19670930    40.0
19671001 19671031    17.4
19671101 19671130    29.3
19671201 19671231    43.7
19680101 19680131    17.6
19680201 19680229     9.8
19680301 19680331    24.3
19680401 19680430    79.9
19680501 19680531   112.2
19680601 19680630    55.2
19680701 19680731    77.0
19680801 19680831    74.0
19680901 19680930    32.8
19681001 19681031    75.2
19681101 19681130    57.2
19681201 19681231    39.1
19690101 19690131    27.9
19690201 19690228    65.0
19690301 19690331    37.7
19690401 19690430    26.8
19690501 19690531    93.3
19690601 19690630    13.4
19690701 19690731    65.7
19690801 19690831    84.9
19690901 19690930    83.8
19691001 19691031    22.3
19691101 19691130    71.4
19691201 19691231    38.7
19700101 19700131     2.5
19700201 19700228     2.5
19700301 19700331    78.8
19700401 19700430    85.9
19700501 19700531    51.3
19700601 19700630    58.3
19700701 19700731    37.3
19700801 19700831    85.0
19700901 19700930    63.7
19701001 19701031    49.5
19701101 19701130    65.7
19701201 19701231    54.4
19710101 19710131    45.8
19710201 19710228    66.6
19710301 19710331    20.9
19710401 19710430   107.8
19710501 19710531    71.1
19710601 19710630    62.2
19710701 19710731    46.3
19710801 19710831    42.4
19710901 19710930    68.7
19711001 19711031    86.4
19711101 19711130    87.3
19711201 19711231    33.3
19720101 19720131    38.5
19720201 19720229   103.0
19720301 19720331    37.1
19720401 19720430    75.2
19720501 19720531    58.5
19720601 19720630    30.1
19720701 19720731    54.5
19720801 19720831    71.6
19720901 19720930    18.3
19721001 19721031    47.3
19721101 19721130    49.8
19721201 19721231     0.8
19730101 19730131    40.9
19730201 19730228   183.1
19730301 19730331    40.9
19730401 19730430    40.7
19730501 19730531    76.6
19730601 19730630    65.1
19730701 19730731    47.5
19730801 19730831    79.2
19730901 19730930    57.4
19731001 19731031   125.0
19731101 19731130    72.1
19731201 19731231    22.1
19740101 19740131   114.0
19740201 19740228    32.2
19740301 19740331    32.6
19740401 19740430   108.0
19740501 19740531    91.2
19740601 19740630    55.4
19740701 19740731    73.6
19740801 19740831    88.4
19740901 19740930    81.6
19741001 19741031    84.6
19741101 19741130    20.4
19741201 19741231    16.2
19750101 19750131    29.8
19750201 19750228     0.0
19750301 19750331    70.7
19750401 19750430    16.7
19750501 19750531    49.8
19750601 19750630    27.4
19750701 19750731    55.4
19750801 19750831    96.0
19750901 19750930   119.2
19751001 19751031   200.2
19751101 19751130    42.4
19751201 19751231    22.6
19760101 19760131     8.6
19760201 19760229    22.2
19760301 19760331    24.2
19760401 19760430    19.8
19760501 19760531    20.6
19760601 19760630    82.6
19760701 19760731    35.8
19760801 19760831    66.8
19760901 19760930    79.6
19761001 19761031    68.8
19761101 19761130    64.4
19761201 19761231    61.0
19770101 19770131    23.8
19770201 19770228    35.8
19770301 19770331    37.2
19770401 19770430    15.4
19770501 19770531    79.6
19770601 19770630   124.4
19770701 19770731    62.0
19770801 19770831    32.8
19770901 19770930    26.4
19771001 19771031    26.0
19771101 19771130    51.6
19771201 19771231    17.8
19780101 19780131    27.6
19780201 19780228    25.8
19780301 19780331    32.4
19780401 19780430    60.0
19780501 19780531    82.0
19780601 19780630    37.6
19780701 19780731    95.0
19780801 19780831    78.4
