PRCP       048039 18911201 20150630 missing_value=99999.9 ENNGONIA (SHEARER STREET)                 
19570801 19570831     3.3
19570901 19570930     0.5
19571001 19571031     0.0
19571101 19571130     0.0
19571201 19571231    17.8
19580101 19580131     3.5
19580201 19580228     0.8
19580301 19580331     3.9
19580401 19580430     9.8
19580501 19580531    62.5
19580601 19580630    53.9
19580701 19580731    18.1
19580801 19580831    32.6
19580901 19580930    20.9
19581001 19581031    48.9
19581101 19581130    60.3
19581201 19581231    50.1
19590101 19590131    81.9
19590201 19590228    14.0
19590301 19590331    68.8
19590401 19590430    62.2
19590501 19590531    28.7
19590601 19590630    12.2
19590701 19590731    11.7
19590801 19590831     4.9
19590901 19590930    19.3
19591001 19591031    33.7
19591101 19591130     0.0
19591201 19591231     2.1
19600101 19600131    43.1
19600201 19600229     9.7
19600301 19600331    19.0
19600401 19600430     2.8
19600501 19600531    57.7
19600601 19600630    17.8
19600701 19600731    16.0
19600801 19600831    27.5
19600901 19600930     9.3
19601001 19601031     0.5
19601101 19601130    61.5
19601201 19601231     1.8
19610101 19610131    93.5
19610201 19610228    19.3
19610301 19610331    45.7
19610401 19610430   151.4
19610501 19610531     0.5
19610601 19610630     9.7
19610701 19610731    12.7
19610801 19610831     7.2
19610901 19610930     0.0
19611001 19611031    21.9
19611101 19611130    16.3
19611201 19611231    19.3
19620101 19620131    89.7
19620201 19620228     8.9
19620301 19620331    67.6
19620401 19620430     0.0
19620501 19620531     8.9
19620601 19620630    11.4
19620701 19620731    19.4
19620801 19620831    26.7
19620901 19620930    20.1
19621001 19621031    22.1
19621101 19621130     3.8
19621201 19621231    92.6
19630101 19630131    72.6
19630201 19630228    21.8
19630301 19630331   243.1
19630401 19630430    28.0
19630501 19630531    37.4
19630601 19630630    30.8
19630701 19630731     2.1
19630801 19630831    14.5
19630901 19630930     8.4
19631001 19631031    42.7
19631101 19631130    16.5
19631201 19631231    21.0
19640101 19640131   105.9
19640201 19640229    41.2
19640301 19640331     1.3
19640401 19640430     2.6
19640501 19640531    33.4
19640601 19640630     1.3
19640701 19640731    16.5
19640801 19640831    21.6
19640901 19640930    49.5
19641001 19641031    21.9
19641101 19641130     7.3
19641201 19641231     1.5
19650101 19650131    13.5
19650201 19650228     1.3
19650301 19650331     0.0
19650401 19650430     1.8
19650501 19650531     2.3
19650601 19650630     6.9
19650701 19650731     3.3
19650801 19650831    13.7
19650901 19650930     2.3
19651001 19651031    12.5
19651101 19651130     6.1
19651201 19651231    74.6
19660101 19660131    37.8
19660201 19660228     1.5
19660301 19660331    20.1
19660401 19660430     0.0
19660501 19660531    31.0
19660601 19660630     2.5
19660701 19660731    21.3
19660801 19660831    84.1
19660901 19660930     2.8
19661001 19661031    40.7
19661101 19661130    15.5
19661201 19661231    28.9
19670101 19670131    25.2
19670201 19670228    11.0
19670301 19670331   186.2
19670401 19670430     0.0
19670501 19670531    25.9
19670601 19670630    27.0
19670701 19670731     0.0
19670801 19670831     5.6
19670901 19670930     0.0
19671001 19671031     0.2
19671101 19671130    30.0
19671201 19671231    37.6
19680101 19680131   114.7
19680201 19680229    23.9
19680301 19680331    54.9
19680401 19680430    31.0
19680501 19680531    82.3
19680601 19680630     4.3
19680701 19680731    20.4
19680801 19680831    15.8
19680901 19680930     3.5
19681001 19681031     3.5
19681101 19681130     7.7
19681201 19681231    14.9
19690101 19690131     0.0
19690201 19690228    13.9
19690301 19690331   149.5
19690401 19690430     1.0
19690501 19690531     1.5
19690601 19690630    27.4
19690701 19690731    23.2
19690801 19690831    17.8
19690901 19690930    18.3
19691001 19691031    16.5
19691101 19691130    14.5
19691201 19691231     3.0
19700101 19700131    24.1
19700201 19700228     1.8
19700301 19700331    27.4
19700401 19700430    58.6
19700501 19700531     2.0
19700601 19700630     0.0
19700701 19700731     0.0
19700801 19700831    11.5
19700901 19700930    98.4
19701001 19701031    21.8
19701101 19701130    27.9
19701201 19701231    25.4
19710101 19710131    37.9
19710201 19710228    42.6
19710301 19710331   139.3
19710401 19710430    36.3
19710501 19710531     7.1
19710601 19710630     0.0
19710701 19710731    25.0
19710801 19710831    25.1
19710901 19710930    50.1
19711001 19711031     1.5
19711101 19711130     5.1
19711201 19711231    20.4
19720101 19720131    75.3
19720201 19720229     7.1
19720301 19720331     0.0
19720401 19720430     6.9
19720501 19720531    49.8
19720601 19720630     2.9
19720701 19720731     1.3
19720801 19720831    19.6
19720901 19720930     2.8
19721001 19721031    38.3
19721101 19721130    29.0
19721201 19721231    10.8
19730101 19730131    35.1
19730201 19730228   153.5
19730301 19730331     6.6
19730401 19730430     6.4
19730501 19730531    13.3
19730601 19730630    18.8
19730701 19730731    19.4
19730801 19730831    32.8
19730901 19730930    15.5
19731001 19731031    96.8
19731101 19731130    29.0
19731201 19731231    98.3
19740101 19740131   207.6
19740201 19740228   109.4
19740301 19740331    13.6
19740401 19740430   129.4
19740501 19740531    19.6
19740601 19740630     1.8
19740701 19740731    11.8
19740801 19740831    30.0
19740901 19740930    17.0
19741001 19741031    45.2
19741101 19741130    29.4
19741201 19741231     0.2
19750101 19750131    65.8
19750201 19750228   161.6
19750301 19750331     4.4
19750401 19750430     0.0
19750501 19750531     0.0
19750601 19750630    30.6
19750701 19750731    13.8
19750801 19750831    24.8
19750901 19750930    38.4
19751001 19751031    16.3
19751101 19751130     0.0
19751201 19751231    97.6
19760101 19760131   125.2
19760201 19760229   376.8
19760301 19760331    35.2
19760401 19760430     0.0
19760501 19760531     1.7
19760601 19760630     6.0
19760701 19760731    55.5
19760801 19760831     1.4
19760901 19760930    19.2
19761001 19761031    52.4
19761101 19761130    16.1
19761201 19761231    22.6
19770101 19770131     9.5
19770201 19770228   158.4
19770301 19770331    43.4
19770401 19770430    53.4
19770501 19770531   120.6
19770601 19770630    14.2
19770701 19770731     0.0
19770801 19770831     5.2
19770901 19770930     7.0
19771001 19771031    37.8
19771101 19771130     1.7
19771201 19771231     4.8
19780101 19780131    60.4
19780201 19780228     5.4
19780301 19780331    24.8
19780401 19780430     0.0
19780501 19780531    81.6
19780601 19780630    41.6
19780701 19780731    33.4
19780801 19780831    21.6
19780901 19780930    37.6
19781001 19781031     7.2
19781101 19781130    79.8
19781201 19781231    22.6
19790101 19790131    24.4
19790201 19790228     8.0
19790301 19790331    30.8
19790401 19790430     5.2
19790501 19790531    23.4
19790601 19790630    11.4
19790701 19790731     4.4
19790801 19790831     9.2
19790901 19790930    50.6
19791001 19791031    17.0
19791101 19791130     4.8
19791201 19791231     0.0
19800101 19800131    15.0
19800201 19800229    10.0
19800301 19800331    11.0
19800401 19800430    10.6
19800501 19800531    17.6
19800601 19800630     8.0
19800701 19800731    40.0
19800801 19800831    10.4
19800901 19800930     0.0
19801001 19801031    14.6
19801101 19801130     0.0
19801201 19801231    25.6
19810101 19810131     3.0
19810201 19810228    12.6
19810301 19810331    15.0
19810401 19810430    19.0
19810501 19810531   121.0
19810601 19810630    19.4
19810701 19810731    76.0
19810801 19810831     2.0
19810901 19810930     8.8
19811001 19811031    23.0
19811101 19811130    46.0
19811201 19811231     5.6
19820101 19820131    20.4
19820201 19820228     1.0
19820301 19820331    42.8
19820401 19820430     5.2
19820501 19820531    21.0
19820601 19820630     0.0
19820701 19820731     4.2
19820801 19820831     0.0
19820901 19820930     7.4
19821001 19821031     6.6
19821101 19821130     8.2
