PRCP       009739 19010801 20180131 missing_value=99999.9 WELCOME DOWNS                             
19711201 19711231     7.5
19720101 19720131    43.7
19720201 19720229     1.3
19720301 19720331    33.4
19720401 19720430    52.5
19720501 19720531    11.6
19720601 19720630    82.8
19720701 19720731   126.3
19720801 19720831    83.0
19720901 19720930    43.0
19721001 19721031    24.5
19721101 19721130     7.7
19721201 19721231     1.5
19730101 19730131    26.8
19730201 19730228    15.3
19730301 19730331    22.2
19730401 19730430    70.1
19730501 19730531    23.7
19730601 19730630   101.4
19730701 19730731    58.4
19730801 19730831    73.0
19730901 19730930    99.7
19731001 19731031    37.6
19731101 19731130    30.7
19731201 19731231    34.4
19740101 19740131     2.8
19740201 19740228    16.2
19740301 19740331    83.0
19740401 19740430    85.1
19740501 19740531    85.0
19740601 19740630    53.6
19740701 19740731    57.4
19740801 19740831    21.5
19740901 19740930    33.5
19741001 19741031    41.7
19741101 19741130    60.0
19741201 19741231    10.4
19750101 19750131     2.6
19750201 19750228    14.0
19750301 19750331     8.8
19750401 19750430   104.2
19750501 19750531    65.9
19750601 19750630    46.1
19750701 19750731    87.7
19750801 19750831    75.4
19750901 19750930    44.0
19751001 19751031    63.7
19751101 19751130    23.6
19751201 19751231    35.4
19760101 19760131    25.9
19760201 19760229    88.2
19760301 19760331     3.0
19760401 19760430    26.1
19760501 19760531    22.5
19760601 19760630    44.1
19760701 19760731    81.6
19760801 19760831    86.8
19760901 19760930    48.5
19761001 19761031    59.7
19761101 19761130    44.8
19761201 19761231     1.5
19770101 19770131     4.0
19770201 19770228    21.7
19770301 19770331     2.6
19770401 19770430     3.3
19770501 19770531   108.2
19770601 19770630    26.8
19770701 19770731    11.5
19770801 19770831    57.5
19770901 19770930    43.4
19771001 19771031    50.6
19771101 19771130    28.6
19771201 19771231     9.6
19780101 19780131    11.2
19780201 19780228    40.2
19780301 19780331     4.6
19780401 19780430    23.2
19780501 19780531    57.6
19780601 19780630    87.7
19780701 19780731    72.6
19780801 19780831    34.8
19780901 19780930    79.4
19781001 19781031    24.0
19781101 19781130    30.6
19781201 19781231    42.2
19790101 19790131     1.4
19790201 19790228    42.4
19790301 19790331     9.2
19790401 19790430    43.7
19790501 19790531    93.2
19790601 19790630    74.7
19790701 19790731   119.6
19790801 19790831    63.6
19790901 19790930    62.4
19791001 19791031    31.1
19791101 19791130    46.8
19791201 19791231    22.8
19800101 19800131    14.2
19800201 19800229    32.8
19800301 19800331     1.6
19800401 19800430    32.0
19800501 19800531    44.8
19800601 19800630    96.4
19800701 19800731    73.6
19800801 19800831    55.4
19800901 19800930    29.0
19801001 19801031    44.6
19801101 19801130    17.4
19801201 19801231    47.6
19810101 19810131    35.0
19810201 19810228    17.6
19810301 19810331    13.4
19810401 19810430    11.4
19810501 19810531    55.8
19810601 19810630   121.6
19810701 19810731    76.8
19810801 19810831    74.4
19810901 19810930    10.8
19811001 19811031    33.8
19811101 19811130    36.8
19811201 19811231     3.8
19820101 19820131    26.2
19820201 19820228     9.6
19820301 19820331    62.4
19820401 19820430     7.2
19820501 19820531    54.2
19820601 19820630    65.2
19820701 19820731    32.4
19820801 19820831    66.6
19820901 19820930    42.2
19821001 19821031    45.6
19821101 19821130    29.6
19821201 19821231    15.4
19830101 19830131    16.6
19830201 19830228    69.0
19830301 19830331    21.2
19830401 19830430    33.4
19830501 19830531    23.5
19830601 19830630    37.3
19830701 19830731    54.0
19830801 19830831    28.6
19830901 19830930    42.0
19831001 19831031    25.0
19831101 19831130    74.2
19831201 19831231    66.8
19840101 19840131    13.6
19840201 19840229     2.0
19840301 19840331    25.2
19840401 19840430    19.0
19840501 19840531   104.0
19840601 19840630    55.8
19840701 19840731   117.9
19840801 19840831   103.5
19840901 19840930    41.0
19841001 19841031    21.6
19841101 19841130    39.6
19841201 19841231     7.8
19850101 19850131     4.6
19850201 19850228    12.6
19850301 19850331    53.2
19850401 19850430    29.8
19850501 19850531    21.6
19850601 19850630    31.8
19850701 19850731    59.8
19850801 19850831   114.0
19850901 19850930    64.4
19851001 19851031    77.2
19851101 19851130    46.2
19851201 19851231    17.6
19860101 19860131     9.8
19860201 19860228    36.3
19860301 19860331     4.2
19860401 19860430    45.0
19860501 19860531    99.8
19860601 19860630    28.8
19860701 19860731    91.4
19860801 19860831    97.0
19860901 19860930    50.8
19861001 19861031    38.6
19861101 19861130    31.6
19861201 19861231    19.0
19870101 19870131    21.4
19870201 19870228     1.8
19870301 19870331    26.3
19870401 19870430    53.6
19870501 19870531   103.6
19870601 19870630    80.2
19870701 19870731    68.8
19870801 19870831    50.6
19870901 19870930    40.0
19871001 19871031    19.6
19871101 19871130    22.3
19871201 19871231    14.0
19880101 19880131    42.4
19880201 19880229     1.8
19880301 19880331    14.2
19880401 19880430    43.2
19880501 19880531    96.2
19880601 19880630    79.8
19880701 19880731    73.0
19880801 19880831    44.6
19880901 19880930    38.0
19881001 19881031    10.8
19881101 19881130    23.2
19881201 19881231    19.6
19890101 19890131    13.8
19890201 19890228    32.4
19890301 19890331    13.0
19890401 19890430    87.9
19890501 19890531    79.2
19890601 19890630   132.6
19890701 19890731   122.4
19890801 19890831    75.0
19890901 19890930    38.4
19891001 19891031    57.6
19891101 19891130    38.8
19891201 19891231     8.2
19900101 19900131    52.2
19900201 19900228    18.6
19900301 19900331    25.0
19900401 19900430    39.6
19900501 19900531 99999.9
19900601 19900630 99999.9
19900701 19900731 99999.9
19900801 19900831 99999.9
19900901 19900930 99999.9
19901001 19901031 99999.9
19901101 19901130 99999.9
19901201 19901231 99999.9
19910101 19910131     5.1
19910201 19910228     0.0
19910301 19910331     9.8
19910401 19910430    22.4
19910501 19910531    20.6
19910601 19910630    48.6
19910701 19910731    65.8
19910801 19910831    49.8
19910901 19910930    49.4
19911001 19911031    32.2
19911101 19911130    57.2
19911201 19911231    49.2
19920101 19920131     2.0
19920201 19920229    66.8
19920301 19920331    91.4
19920401 19920430 99999.9
19920501 19920531 99999.9
19920601 19920630 99999.9
19920701 19920731    69.9
19920801 19920831   110.8
19920901 19920930   100.3
