PRCP       044026 18790101 20180131 missing_value=99999.9 CUNNAMULLA POST OFFICE                    
19330601 19330630     8.4
19330701 19330731    46.8
19330801 19330831     7.1
19330901 19330930    63.2
19331001 19331031    43.2
19331101 19331130    83.8
19331201 19331231    49.3
19340101 19340131     4.5
19340201 19340228    39.4
19340301 19340331     0.0
19340401 19340430    32.8
19340501 19340531     3.8
19340601 19340630    33.5
19340701 19340731    29.4
19340801 19340831    21.1
19340901 19340930     6.4
19341001 19341031    68.1
19341101 19341130    55.6
19341201 19341231     4.1
19350101 19350131     9.1
19350201 19350228     9.7
19350301 19350331     0.0
19350401 19350430     0.3
19350501 19350531     0.0
19350601 19350630    46.2
19350701 19350731    34.9
19350801 19350831    19.1
19350901 19350930    41.9
19351001 19351031    15.3
19351101 19351130     7.9
19351201 19351231    20.6
19360101 19360131   107.1
19360201 19360229    28.7
19360301 19360331    82.1
19360401 19360430     0.0
19360501 19360531    13.2
19360601 19360630    22.8
19360701 19360731    34.4
19360801 19360831    14.4
19360901 19360930     1.5
19361001 19361031     9.9
19361101 19361130     3.8
19361201 19361231    62.4
19370101 19370131     1.3
19370201 19370228    74.7
19370301 19370331    35.5
19370401 19370430     0.0
19370501 19370531     0.0
19370601 19370630     7.1
19370701 19370731     0.0
19370801 19370831     4.1
19370901 19370930    15.5
19371001 19371031     0.0
19371101 19371130     2.0
19371201 19371231     0.5
19380101 19380131    87.1
19380201 19380228    12.7
19380301 19380331     8.1
19380401 19380430     1.5
19380501 19380531   110.1
19380601 19380630    26.0
19380701 19380731    15.8
19380801 19380831    35.6
19380901 19380930     0.0
19381001 19381031     7.0
19381101 19381130    43.1
19381201 19381231     1.3
19390101 19390131    28.4
19390201 19390228   104.0
19390301 19390331    48.6
19390401 19390430    36.9
19390501 19390531    15.2
19390601 19390630    23.7
19390701 19390731    24.3
19390801 19390831    59.0
19390901 19390930     0.0
19391001 19391031    29.7
19391101 19391130    55.6
19391201 19391231     5.1
19400101 19400131     9.4
19400201 19400229    22.1
19400301 19400331     3.0
19400401 19400430    12.2
19400501 19400531     5.1
19400601 19400630    10.2
19400701 19400731     0.5
19400801 19400831     6.1
19400901 19400930    17.8
19401001 19401031     2.5
19401101 19401130     8.9
19401201 19401231    44.4
19410101 19410131   272.4
19410201 19410228     0.0
19410301 19410331    76.3
19410401 19410430     0.0
19410501 19410531    16.6
19410601 19410630    19.4
19410701 19410731     1.0
19410801 19410831     0.0
19410901 19410930    11.4
19411001 19411031    22.9
19411101 19411130     5.6
19411201 19411231    15.4
19420101 19420131     3.0
19420201 19420228    63.1
19420301 19420331    17.5
19420401 19420430    15.2
19420501 19420531    59.2
19420601 19420630    23.7
19420701 19420731    19.1
19420801 19420831     0.0
19420901 19420930    15.5
19421001 19421031    38.8
19421101 19421130    19.8
19421201 19421231   361.9
19430101 19430131     8.2
19430201 19430228    18.3
19430301 19430331     0.8
19430401 19430430    12.8
19430501 19430531     1.3
19430601 19430630    20.3
19430701 19430731     5.6
19430801 19430831    17.6
19430901 19430930    50.1
19431001 19431031    17.8
19431101 19431130    16.5
19431201 19431231     5.1
19440101 19440131     0.0
19440201 19440229    17.3
19440301 19440331     1.3
19440401 19440430    23.7
19440501 19440531     5.1
19440601 19440630     0.8
19440701 19440731    31.7
19440801 19440831    30.0
19440901 19440930     0.0
19441001 19441031     2.5
19441101 19441130     8.1
19441201 19441231    21.6
19450101 19450131    10.2
19450201 19450228    42.6
19450301 19450331     2.3
19450401 19450430     7.3
19450501 19450531    30.3
19450601 19450630    13.3
19450701 19450731    46.9
19450801 19450831    13.5
19450901 19450930     0.0
19451001 19451031    36.8
19451101 19451130     1.8
19451201 19451231    27.4
19460101 19460131    42.8
19460201 19460228    70.9
19460301 19460331     7.4
19460401 19460430     1.0
19460501 19460531     0.0
19460601 19460630     5.3
19460701 19460731     0.3
19460801 19460831     0.0
19460901 19460930    22.6
19461001 19461031     1.3
19461101 19461130     3.3
19461201 19461231    25.4
19470101 19470131     1.8
19470201 19470228   203.7
19470301 19470331    31.5
19470401 19470430     0.0
19470501 19470531    38.7
19470601 19470630    38.8
19470701 19470731     6.6
19470801 19470831    21.3
19470901 19470930    27.7
19471001 19471031    21.7
19471101 19471130    77.3
19471201 19471231    17.3
19480101 19480131    30.2
19480201 19480229   115.4
19480301 19480331    60.2
19480401 19480430     0.0
19480501 19480531    16.3
19480601 19480630    18.3
19480701 19480731    37.4
19480801 19480831     5.4
19480901 19480930    10.0
19481001 19481031     5.6
19481101 19481130     7.4
19481201 19481231    54.9
19490101 19490131    33.3
19490201 19490228    92.6
19490301 19490331   278.8
19490401 19490430    12.4
19490501 19490531    32.5
19490601 19490630    12.0
19490701 19490731     1.6
19490801 19490831     0.0
19490901 19490930    50.0
19491001 19491031    85.4
19491101 19491130    73.1
19491201 19491231     0.5
19500101 19500131    65.5
19500201 19500228    48.8
19500301 19500331   119.4
19500401 19500430    94.6
19500501 19500531    26.1
19500601 19500630    67.4
19500701 19500731    99.0
19500801 19500831     3.8
19500901 19500930    44.0
19501001 19501031   134.0
19501101 19501130   101.5
19501201 19501231     3.3
19510101 19510131    25.7
19510201 19510228     2.1
19510301 19510331    40.9
19510401 19510430     1.0
19510501 19510531    19.1
19510601 19510630    62.6
19510701 19510731     0.8
19510801 19510831     6.9
19510901 19510930    13.5
19511001 19511031    21.9
19511101 19511130     8.4
19511201 19511231    69.9
19520101 19520131     7.1
