PRCP       007169 19361201 20111031 missing_value=99999.9 RHODES RIDGE                              
20100801 20100831    15.0
20100901 20100930    38.1
20101001 20101031     0.2
20101101 20101130    11.5
20101201 20101231    25.9
20110101 20110131    62.8
20110201 20110228   185.5
20110301 20110331    77.5
20110401 20110430    16.0
20110501 20110531    22.0
20110601 20110630    11.0
20110701 20110731    38.0
20110801 20110831 99999.9
20110901 20110930 99999.9
20111001 20111031    10.0
