PRCP       015593 19501001 20080430 missing_value=99999.9 ALCOOTA                                   
20040601 20040630     0.1
20040701 20040731     0.0
20040801 20040831     0.0
20040901 20040930     0.0
20041001 20041031     0.0
20041101 20041130     0.0
20041201 20041231     0.0
20050101 20050131     8.2
20050201 20050228     0.0
20050301 20050331     0.0
20050401 20050430     0.0
20050501 20050531     0.0
20050601 20050630    63.2
20050701 20050731    44.0
20050801 20050831     0.0
20050901 20050930    16.0
20051001 20051031    60.1
20051101 20051130    11.0
20051201 20051231    25.2
20060101 20060131    52.0
20060201 20060228     7.0
20060301 20060331     9.0
20060401 20060430     7.8
20060501 20060531     0.0
20060601 20060630     0.0
20060701 20060731    11.0
20060801 20060831     0.0
20060901 20060930     0.0
20061001 20061031     0.0
20061101 20061130    22.0
20061201 20061231    15.6
20070101 20070131   161.0
20070201 20070228     0.0
20070301 20070331    57.0
20070401 20070430     0.0
20070501 20070531    21.0
20070601 20070630     6.0
20070701 20070731     0.0
20070801 20070831     0.0
20070901 20070930     0.0
20071001 20071031    12.2
20071101 20071130     6.0
20071201 20071231    16.5
20080101 20080131    27.0
20080201 20080229     4.0
20080301 20080331     0.0
20080401 20080430     0.0
