PRCP       024511 18801101 20180131 missing_value=99999.9 EUDUNDA                                   
19691001 19691031     6.9
19691101 19691130    17.2
19691201 19691231    29.2
19700101 19700131    39.7
19700201 19700228     1.3
19700301 19700331    15.4
19700401 19700430    27.6
19700501 19700531    28.4
19700601 19700630    49.0
19700701 19700731    33.4
19700801 19700831    98.0
19700901 19700930    67.8
19701001 19701031     6.4
19701101 19701130    46.9
19701201 19701231    27.7
19710101 19710131     5.6
19710201 19710228     3.0
19710301 19710331    39.0
19710401 19710430    49.4
19710501 19710531    69.0
19710601 19710630    77.7
19710701 19710731    44.2
19710801 19710831    83.2
19710901 19710930    62.7
19711001 19711031    36.7
19711101 19711130    50.9
19711201 19711231    17.9
19720101 19720131    46.0
19720201 19720229    22.7
19720301 19720331     0.0
19720401 19720430    26.5
19720501 19720531    16.6
19720601 19720630    31.5
19720701 19720731    61.1
19720801 19720831    83.9
19720901 19720930    18.3
19721001 19721031    29.1
19721101 19721130    32.3
19721201 19721231     3.0
19730101 19730131     9.5
19730201 19730228   102.3
19730301 19730331    39.7
19730401 19730430    39.0
19730501 19730531    24.4
19730601 19730630    77.9
19730701 19730731    59.9
19730801 19730831    84.5
19730901 19730930    41.6
19731001 19731031   100.2
19731101 19731130    65.5
19731201 19731231    20.6
19740101 19740131   189.0
19740201 19740228    46.0
19740301 19740331    55.2
19740401 19740430    79.6
19740501 19740531   102.0
19740601 19740630    28.8
19740701 19740731    94.5
19740801 19740831    51.2
19740901 19740930    66.1
19741001 19741031    83.7
19741101 19741130     6.6
19741201 19741231     6.8
19750101 19750131     8.0
19750201 19750228     6.1
19750301 19750331    33.1
19750401 19750430     9.2
19750501 19750531    38.0
19750601 19750630     5.6
19750701 19750731    49.6
19750801 19750831    58.7
19750901 19750930    78.7
19751001 19751031    96.6
19751101 19751130    12.8
19751201 19751231    16.8
19760101 19760131    14.6
19760201 19760229    46.4
19760301 19760331     6.0
19760401 19760430    10.0
19760501 19760531    12.4
19760601 19760630    22.8
19760701 19760731    18.0
19760801 19760831    46.0
19760901 19760930    67.4
