PRCP       019061 19100101 20171231 missing_value=99999.9 YEDNALUE                                  
19911001 19911031     0.2
19911101 19911130    30.0
19911201 19911231     0.0
19920101 19920131     1.0
19920201 19920229    49.1
19920301 19920331     2.4
19920401 19920430    23.9
19920501 19920531    59.8
19920601 19920630     4.8
19920701 19920731    10.6
19920801 19920831    57.6
19920901 19920930    73.0
19921001 19921031   117.4
19921101 19921130    65.4
19921201 19921231   117.8
19930101 19930131    66.6
19930201 19930228     8.3
19930301 19930331     2.8
19930401 19930430     0.6
19930501 19930531     7.0
19930601 19930630    13.0
19930701 19930731    33.4
19930801 19930831    23.0
19930901 19930930    21.6
19931001 19931031    61.8
19931101 19931130     9.0
19931201 19931231    94.2
19940101 19940131     0.0
19940201 19940228    37.2
19940301 19940331     0.0
19940401 19940430     0.0
19940501 19940531     0.0
19940601 19940630    53.0
19940701 19940731    12.0
19940801 19940831     2.0
19940901 19940930     2.6
19941001 19941031    17.8
19941101 19941130     0.0
19941201 19941231     1.2
19950101 19950131    35.6
19950201 19950228     7.8
19950301 19950331    10.0
19950401 19950430    37.4
19950501 19950531    37.2
19950601 19950630    31.0
19950701 19950731    59.4
19950801 19950831     1.8
19950901 19950930    49.0
19951001 19951031    47.2
19951101 19951130    12.2
19951201 19951231     8.6
19960101 19960131     0.0
19960201 19960229     5.2
19960301 19960331    66.4
19960401 19960430     0.0
19960501 19960531     1.0
19960601 19960630    19.6
19960701 19960731    67.4
19960801 19960831    53.6
19960901 19960930    39.0
19961001 19961031     4.6
19961101 19961130    13.7
19961201 19961231    41.4
19970101 19970131    18.8
19970201 19970228    84.6
19970301 19970331     0.0
19970401 19970430     0.0
19970501 19970531     6.2
19970601 19970630     3.4
19970701 19970731     1.0
19970801 19970831    34.4
19970901 19970930    75.6
19971001 19971031    28.4
19971101 19971130    12.2
19971201 19971231 99999.9
19980101 19980131    26.0
19980201 19980228    21.6
19980301 19980331     9.4
19980401 19980430    17.8
19980501 19980531     0.4
19980601 19980630    22.4
19980701 19980731    47.6
19980801 19980831    27.1
19980901 19980930    29.0
19981001 19981031    26.8
19981101 19981130    63.4
19981201 19981231     1.4
19990101 19990131    18.4
19990201 19990228    38.2
19990301 19990331    34.2
19990401 19990430     5.7
19990501 19990531    39.4
19990601 19990630    16.0
19990701 19990731    16.6
19990801 19990831    27.2
19990901 19990930     8.6
19991001 19991031    35.8
19991101 19991130    35.8
19991201 19991231     8.0
20000101 20000131     3.2
20000201 20000229    67.4
20000301 20000331    18.0
20000401 20000430    50.2
20000501 20000531    19.0
20000601 20000630    12.0
20000701 20000731    20.6
20000801 20000831    48.8
20000901 20000930    33.4
20001001 20001031    33.6
20001101 20001130    67.2
20001201 20001231    43.0
20010101 20010131     8.2
20010201 20010228     5.6
20010301 20010331     7.0
20010401 20010430     4.6
20010501 20010531    20.4
20010601 20010630    60.2
20010701 20010731    31.6
20010801 20010831    15.2
20010901 20010930    56.2
20011001 20011031    57.0
20011101 20011130    10.2
20011201 20011231    51.6
20020101 20020131     8.4
20020201 20020228     0.4
20020301 20020331     0.0
20020401 20020430     1.4
20020501 20020531    21.3
20020601 20020630    12.0
20020701 20020731    17.6
20020801 20020831     6.0
20020901 20020930     6.6
20021001 20021031     0.0
20021101 20021130    29.4
20021201 20021231    29.0
20030101 20030131     7.0
20030201 20030228    43.4
20030301 20030331     0.2
20030401 20030430     8.6
20030501 20030531    15.6
20030601 20030630    11.6
20030701 20030731    16.2
20030801 20030831    45.4
20030901 20030930     1.6
20031001 20031031    58.8
20031101 20031130     7.0
20031201 20031231    48.2
20040101 20040131    10.0
20040201 20040229     8.6
20040301 20040331     0.8
20040401 20040430     0.2
20040501 20040531    24.9
20040601 20040630    35.4
20040701 20040731    10.0
20040801 20040831    49.2
20040901 20040930    24.6
20041001 20041031    37.0
20041101 20041130    27.6
20041201 20041231    37.6
20050101 20050131     9.2
20050201 20050228     1.8
20050301 20050331     2.4
20050401 20050430     2.6
20050501 20050531     4.7
20050601 20050630    34.9
20050701 20050731    41.4
20050801 20050831    18.0
20050901 20050930    65.2
20051001 20051031    31.8
20051101 20051130    23.8
