PRCP       094061 18880101 20180131 missing_value=99999.9 SANDFORD (MAYDENA)                        
19790201 19790228    27.2
19790301 19790331    38.8
19790401 19790430    30.8
19790501 19790531    25.4
19790601 19790630     3.2
19790701 19790731    15.0
19790801 19790831    46.8
19790901 19790930    67.2
19791001 19791031    30.4
19791101 19791130    27.2
19791201 19791231    45.4
19800101 19800131    16.6
19800201 19800229    26.0
19800301 19800331    61.4
19800401 19800430    17.4
19800501 19800531    30.2
19800601 19800630    42.8
19800701 19800731    31.0
19800801 19800831    23.4
19800901 19800930    31.2
19801001 19801031    70.8
19801101 19801130    50.2
19801201 19801231    34.4
19810101 19810131    27.0
19810201 19810228     9.2
19810301 19810331    49.0
19810401 19810430    53.6
19810501 19810531    25.6
19810601 19810630    61.0
19810701 19810731    46.2
19810801 19810831   110.4
19810901 19810930    17.4
19811001 19811031    42.0
19811101 19811130    27.4
19811201 19811231    61.8
19820101 19820131    45.4
19820201 19820228    18.8
19820301 19820331    66.6
19820401 19820430    28.0
19820501 19820531    57.0
19820601 19820630    33.8
19820701 19820731    48.6
19820801 19820831     8.4
19820901 19820930    46.2
19821001 19821031    12.2
19821101 19821130    14.8
19821201 19821231    13.4
19830101 19830131    22.4
19830201 19830228     8.4
19830301 19830331    82.4
19830401 19830430    69.0
19830501 19830531    23.8
19830601 19830630    51.0
19830701 19830731    38.2
19830801 19830831    36.4
