PRCP       068016 19040101 20130131 missing_value=99999.9 CATARACT DAM                              
19580901 19580930    42.3
19581001 19581031    45.0
19581101 19581130    45.7
19581201 19581231   104.7
19590101 19590131   140.2
19590201 19590228   154.2
19590301 19590331   164.7
19590401 19590430    55.9
19590501 19590531    12.5
19590601 19590630    90.7
19590701 19590731   158.6
19590801 19590831    15.5
19590901 19590930    42.2
19591001 19591031   270.5
19591101 19591130   112.8
19591201 19591231    42.7
19600101 19600131    74.6
19600201 19600229   101.8
19600301 19600331    81.3
19600401 19600430    60.3
19600501 19600531   153.0
19600601 19600630    49.1
19600701 19600731   118.1
19600801 19600831    46.8
19600901 19600930    53.8
19601001 19601031   138.9
19601101 19601130    61.1
19601201 19601231   266.0
19610101 19610131    76.1
19610201 19610228    87.8
19610301 19610331   175.8
19610401 19610430    92.4
19610501 19610531    20.1
19610601 19610630    83.0
19610701 19610731    44.4
19610801 19610831   257.8
19610901 19610930    27.0
19611001 19611031    72.1
19611101 19611130   475.2
19611201 19611231   206.0
19620101 19620131   200.0
19620201 19620228   226.9
19620301 19620331    63.5
19620401 19620430    77.8
19620501 19620531   216.4
19620601 19620630     0.8
19620701 19620731   101.0
19620801 19620831   129.0
19620901 19620930   103.2
19621001 19621031    28.1
19621101 19621130    22.6
19621201 19621231   129.3
19630101 19630131   215.8
19630201 19630228    91.0
19630301 19630331   373.2
19630401 19630430   265.6
19630501 19630531   243.5
19630601 19630630   232.1
19630701 19630731    31.7
19630801 19630831   276.1
19630901 19630930   112.1
19631001 19631031    33.1
19631101 19631130    48.8
19631201 19631231   219.5
19640101 19640131    35.5
19640201 19640229    27.8
19640301 19640331    95.0
19640401 19640430   201.2
19640501 19640531    11.5
19640601 19640630   625.9
19640701 19640731    12.0
19640801 19640831    49.3
19640901 19640930    39.5
19641001 19641031    84.0
19641101 19641130    70.4
19641201 19641231    39.8
19650101 19650131    18.8
19650201 19650228    17.1
19650301 19650331    20.6
19650401 19650430    77.0
19650501 19650531    32.0
19650601 19650630    94.5
19650701 19650731   117.6
19650801 19650831    25.3
19650901 19650930    42.1
19651001 19651031   171.4
19651101 19651130    16.1
19651201 19651231    59.1
19660101 19660131    31.2
19660201 19660228   110.4
19660301 19660331    60.6
19660401 19660430    38.9
19660501 19660531     7.8
19660601 19660630   129.7
19660701 19660731    26.9
19660801 19660831    61.1
19660901 19660930    60.5
19661001 19661031    83.8
19661101 19661130   193.4
19661201 19661231   108.2
19670101 19670131   169.7
19670201 19670228   107.1
19670301 19670331   135.3
19670401 19670430    53.4
19670501 19670531    21.6
19670601 19670630   203.4
19670701 19670731    26.9
19670801 19670831   258.4
19670901 19670930    99.6
19671001 19671031    75.5
19671101 19671130    53.2
19671201 19671231     7.3
19680101 19680131   112.2
19680201 19680229    14.5
19680301 19680331    58.2
19680401 19680430    19.1
19680501 19680531   127.4
19680601 19680630     6.6
19680701 19680731    47.8
19680801 19680831    18.8
19680901 19680930     1.1
19681001 19681031    10.7
19681101 19681130    40.7
19681201 19681231   107.6
19690101 19690131    35.8
19690201 19690228   165.9
19690301 19690331   124.8
19690401 19690430   204.0
19690501 19690531    59.5
19690601 19690630   147.4
19690701 19690731    48.1
19690801 19690831   151.5
19690901 19690930    37.6
19691001 19691031   124.5
19691101 19691130   334.8
19691201 19691231    28.0
19700101 19700131   118.6
19700201 19700228    39.5
19700301 19700331    81.3
19700401 19700430    35.3
19700501 19700531    18.1
19700601 19700630    29.0
19700701 19700731     0.3
19700801 19700831    15.0
19700901 19700930   117.7
19701001 19701031    45.8
19701101 19701130   101.5
19701201 19701231   292.5
19710101 19710131    63.6
19710201 19710228   263.6
19710301 19710331   112.0
19710401 19710430    73.2
19710501 19710531    62.5
19710601 19710630    10.2
19710701 19710731    12.8
19710801 19710831    78.7
19710901 19710930    29.6
19711001 19711031     7.0
19711101 19711130    79.1
19711201 19711231   166.5
19720101 19720131   382.7
19720201 19720229    73.6
19720301 19720331   178.1
19720401 19720430   121.8
19720501 19720531    43.6
19720601 19720630    82.4
19720701 19720731     5.4
19720801 19720831    42.1
19720901 19720930    11.9
19721001 19721031   255.1
19721101 19721130    65.5
19721201 19721231    49.8
19730101 19730131   109.0
19730201 19730228   242.7
19730301 19730331    48.3
19730401 19730430    57.2
19730501 19730531    37.1
19730601 19730630    92.7
19730701 19730731    72.9
19730801 19730831    50.4
19730901 19730930    31.0
19731001 19731031    89.6
19731101 19731130   205.0
19731201 19731231    61.4
19740101 19740131   240.2
19740201 19740228    82.8
19740301 19740331   270.4
19740401 19740430   166.2
19740501 19740531   296.0
19740601 19740630   161.8
19740701 19740731    13.8
19740801 19740831   252.2
19740901 19740930    29.0
19741001 19741031   108.8
19741101 19741130    56.1
19741201 19741231     6.2
19750101 19750131    28.6
19750201 19750228   155.2
19750301 19750331   288.9
19750401 19750430   124.8
19750501 19750531    23.2
19750601 19750630   393.0
19750701 19750731   101.2
19750801 19750831    22.4
19750901 19750930    45.2
19751001 19751031    86.8
19751101 19751130    74.6
19751201 19751231    20.0
19760101 19760131   216.9
19760201 19760229   196.2
19760301 19760331   294.8
19760401 19760430    29.0
19760501 19760531    19.2
19760601 19760630   132.2
19760701 19760731   104.4
19760801 19760831    15.6
19760901 19760930    43.0
19761001 19761031   290.4
19761101 19761130   112.9
19761201 19761231    18.2
19770101 19770131    64.8
19770201 19770228   226.7
19770301 19770331   208.8
19770401 19770430    27.2
19770501 19770531   211.8
19770601 19770630    73.2
19770701 19770731     1.2
19770801 19770831    18.5
19770901 19770930    48.0
19771001 19771031     6.8
19771101 19771130     8.2
19771201 19771231    38.8
19780101 19780131   334.4
19780201 19780228    59.6
19780301 19780331   604.9
19780401 19780430    91.6
19780501 19780531   129.6
19780601 19780630   423.4
19780701 19780731    13.0
19780801 19780831    37.8
19780901 19780930    87.6
19781001 19781031    74.4
19781101 19781130   103.6
19781201 19781231    60.2
19790101 19790131    42.8
19790201 19790228    27.0
19790301 19790331    97.2
19790401 19790430    22.9
19790501 19790531    90.8
19790601 19790630   112.6
19790701 19790731    23.2
19790801 19790831     8.8
19790901 19790930    27.4
19791001 19791031    56.7
19791101 19791130    48.4
19791201 19791231     7.4
19800101 19800131    74.1
19800201 19800229   104.0
19800301 19800331    56.4
19800401 19800430    10.6
19800501 19800531   212.9
19800601 19800630    35.9
19800701 19800731    35.4
19800801 19800831     7.4
19800901 19800930     4.1
19801001 19801031    30.7
19801101 19801130    35.8
19801201 19801231    41.6
19810101 19810131    71.2
19810201 19810228   166.8
19810301 19810331     8.6
19810401 19810430   238.8
19810501 19810531   154.5
19810601 19810630    42.8
19810701 19810731    46.6
19810801 19810831    14.6
19810901 19810930     6.4
19811001 19811031   132.8
19811101 19811130   167.7
19811201 19811231    66.0
19820101 19820131    65.0
19820201 19820228    28.4
19820301 19820331   118.6
19820401 19820430    16.6
19820501 19820531     1.6
19820601 19820630    52.8
19820701 19820731    22.8
19820801 19820831     1.2
19820901 19820930   219.4
19821001 19821031    38.2
19821101 19821130     5.0
19821201 19821231    14.3
19830101 19830131    24.8
19830201 19830228    38.4
19830301 19830331   224.8
19830401 19830430    63.6
19830501 19830531   162.4
19830601 19830630    78.6
19830701 19830731    21.6
19830801 19830831    35.7
19830901 19830930    37.2
19831001 19831031   150.9
19831101 19831130    81.1
19831201 19831231    91.8
19840101 19840131   166.6
19840201 19840229   199.8
19840301 19840331   105.8
19840401 19840430   172.4
19840501 19840531    37.4
19840601 19840630    81.4
19840701 19840731   128.2
19840801 19840831     9.8
19840901 19840930    49.2
19841001 19841031    25.6
19841101 19841130   392.2
19841201 19841231   113.2
19850101 19850131    14.8
19850201 19850228    26.4
19850301 19850331   135.3
19850401 19850430   250.6
19850501 19850531   176.2
19850601 19850630    75.2
19850701 19850731    86.0
19850801 19850831    31.8
19850901 19850930    61.4
19851001 19851031   284.2
19851101 19851130   128.2
19851201 19851231    75.9
19860101 19860131   142.4
19860201 19860228    57.4
19860301 19860331    14.2
19860401 19860430    49.0
19860501 19860531    31.9
19860601 19860630    13.4
19860701 19860731    15.5
19860801 19860831   593.2
19860901 19860930   125.8
19861001 19861031    55.8
19861101 19861130   167.8
19861201 19861231    18.2
19870101 19870131    57.6
19870201 19870228    58.8
19870301 19870331   136.0
19870401 19870430    15.0
19870501 19870531    81.6
19870601 19870630    43.9
19870701 19870731    56.0
19870801 19870831   259.6
19870901 19870930    15.2
19871001 19871031   600.1
19871101 19871130   110.4
19871201 19871231    78.0
19880101 19880131    99.0
19880201 19880229   110.0
19880301 19880331    68.3
19880401 19880430   669.1
19880501 19880531   201.2
19880601 19880630    27.2
19880701 19880731   172.0
19880801 19880831    28.8
19880901 19880930    88.2
19881001 19881031     0.6
19881101 19881130   142.4
19881201 19881231   144.2
19890101 19890131    91.3
19890201 19890228    74.8
19890301 19890331   110.2
19890401 19890430   318.6
19890501 19890531   119.9
19890601 19890630   222.6
19890701 19890731    34.4
19890801 19890831    24.6
19890901 19890930     3.6
19891001 19891031     8.4
19891101 19891130    69.6
19891201 19891231    79.6
19900101 19900131    59.2
19900201 19900228   357.2
19900301 19900331    93.8
19900401 19900430   294.2
19900501 19900531   156.4
19900601 19900630    33.8
19900701 19900731    37.2
19900801 19900831   314.8
19900901 19900930    84.4
19901001 19901031    50.8
19901101 19901130    42.4
19901201 19901231    20.6
19910101 19910131    67.4
19910201 19910228    62.8
19910301 19910331    13.6
19910401 19910430    20.8
19910501 19910531    51.4
19910601 19910630   422.8
19910701 19910731   101.6
19910801 19910831     9.0
19910901 19910930    16.2
19911001 19911031    16.0
